,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
1411,木夭丑友什67aa28bb,1.253,0.0,12.0,0.0,2.0,1997,0,1,0.22554067591393115,0.6931471805599453
1412,木夭丑友什67aa29aa,1.253,0.0,16.0,0.0,3.0,1997,1,0,0.22554067591393115,1.0986122886681098
1413,木夭丑友什67aa29ab,1.253,91.0,333.0,48.0,52.0,1997,1,17,0.22554067591393115,3.9512437185814275
1414,木夭丑友什67aa29ba,0.234,217.0,722.0,88.0,119.0,1996,3,20,-1.4524341636244356,4.77912349311153
1415,木夭丑友什67aa29bb,0.234,39.0,182.0,55.0,21.0,1997,1,0,-1.4524341636244356,3.044522437723423
1416,木夭丑友什67aa30aa,0.234,132.0,763.0,242.0,19.0,1992,1,0,-1.4524341636244356,2.9444389791664403
1417,木夭丑友什67aa30ab,1.083,369.0,1367.0,366.0,40.0,1992,2,0,0.07973496801885352,3.6888794541139363
1418,木夭丑友什67aa30ba,1.495,105.0,479.0,168.0,3.0,1993,0,0,0.4021262068426498,1.0986122886681098
1419,木夭丑友什67aa30bb,0.902,76.0,346.0,109.0,3.0,1991,0,0,-0.10314075891951337,1.0986122886681098
1420,木夭丑友什67aa31aa,1.291,302.0,1205.0,408.0,18.0,1991,2,0,0.2554171118645054,2.8903717578961645
1421,木夭丑友什67aa31ab,1.291,235.0,821.0,206.0,9.0,1993,0,0,0.2554171118645054,2.1972245773362196
1422,木夭丑友什67aa31ba,1.291,269.0,901.0,277.0,14.0,1992,2,0,0.2554171118645054,2.6390573296152584
1423,木夭丑友什67aa31bb,2.786,160.0,693.0,163.0,64.0,1999,2,11,1.024606875357614,4.1588830833596715
1424,木夭丑友什67aa32aa,2.786,45.0,173.0,54.0,4.0,1992,1,0,1.024606875357614,1.3862943611198906
1425,木夭丑友什67aa32ab,2.279,132.0,442.0,78.0,13.0,1992,0,6,0.8237367502635472,2.5649493574615367
1426,木夭丑友什67aa32ba,2.279,116.0,573.0,160.0,10.0,1992,0,5,0.8237367502635472,2.302585092994046
1427,木夭丑友什67aa32bb,2.279,200.0,696.0,217.0,12.0,1998,0,3,0.8237367502635472,2.4849066497880004
1428,木夭丑友什67aa33aa,1.797,124.0,631.0,217.0,16.0,1996,1,6,0.586118607801422,2.772588722239781
1429,木夭丑友什67aa33ab,2.136,95.0,447.0,150.0,28.0,1997,0,3,0.7589349210979485,3.332204510175204
1430,木夭丑友什67aa33ba,1.414,225.0,537.0,122.0,7.0,1994,0,0,0.34642256747438094,1.9459101490553132
1431,木夭丑友什67aa33bb,1.414,207.0,615.0,168.0,11.0,1993,0,0,0.34642256747438094,2.3978952727983707
1432,木夭丑友什67aa34aa,1.414,279.0,1013.0,285.0,19.0,1996,1,3,0.34642256747438094,2.9444389791664403
1433,木夭丑友什67aa34ab,2.199,406.0,1109.0,290.0,16.0,1994,1,17,0.788002711572624,2.772588722239781
1434,木夭丑友什67aa34ba,0.31,89.0,295.0,44.0,17.0,1998,1,4,-1.171182981502945,2.833213344056216
1435,木夭丑友什67aa34bb,0.31,38.0,190.0,0.0,16.0,1999,3,0,-1.171182981502945,2.772588722239781
1436,木夭丑友什67aa35aa,1.504,362.0,895.0,175.0,11.0,1993,0,0,0.4081282255276481,2.3978952727983707
1437,木夭丑友什67aa35ab,1.504,199.0,748.0,186.0,54.0,1998,0,0,0.4081282255276481,3.9889840465642745
1438,木夭丑友什67aa35ba,1.504,22.0,274.0,42.0,16.0,2013,1,0,0.4081282255276481,2.772588722239781
1442,木夭丑友什67aa36ba,1.368,9.0,164.0,0.0,3.0,2019,1,0,0.3133498192003588,1.0986122886681098
1443,木夭丑友什67aa36bb,1.368,196.0,404.0,23.0,77.0,1991,3,40,0.3133498192003588,4.343805421853684
1444,木夭丑友什67aa37aa,0.762,303.0,524.0,28.0,109.0,1995,6,23,-0.2718087232954908,4.6913478822291435
1445,木夭丑友什67aa37ab,0.762,237.0,653.0,92.0,116.0,1992,4,30,-0.2718087232954908,4.7535901911063645
