설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 중원구 박석로94번길12-9,경기도 성남시 중원구 상대원동 811-2,37.441027,127.1658493,2018.8.16
1,경기도 성남시 중원구 희망로375번길16-6,경기도 성남시 중원구 상대원동 3099,37.4394438,127.1572355,2018.8.16
1,경기도 성남시 중원구 희망로380번길11-4,경기도 성남시 중원구 상대원동 2993-19,37.4389984,127.1602403,2018.8.16
1,경기도 성남시 중원구 희망로392번길14-13,경기도 성남시 중원구 상대원동 2993-20,37.4392501,127.160625,2018.8.16
1,경기도 성남시 중원구 상대원동 2992-6,경기도 성남시 중원구 상대원동 2992-6,37.4401678,127.1616552,2018.8.16
1,경기도 성남시 중원구 금상로57번길5-1,경기도 성남시 중원구 상대원동 2992-3,37.4406088,127.1620177,2018.8.16
1,경기도 성남시 중원구 희망로367번길23-2,경기도 성남시 중원구 상대원동 3564,37.4384458,127.155595,2018.8.16
1,경기도 성남시 중원구 희망로359번길26,경기도 성남시 중원구 상대원동 3575,37.4379416,127.1553793,2018.8.16
1,경기도 성남시 중원구 희망로367번길25-1,경기도 성남시 중원구 상대원동 3582,37.4384461,127.155369,2018.8.16
1,경기도 성남시 중원구 희망로367번길7-1,경기도 성남시 중원구 상대원동 3424,37.4384435,127.1574256,2018.8.16
2,경기도 성남시 중원구 희망로367번길7,경기도 성남시 중원구 상대원동 3403,37.4384433,127.1575385,2018.8.16
1,경기도 성남시 중원구 희망로367번길4,경기도 성남시 중원구 상대원동 3156-13,37.4385779,127.1579908,2018.8.16
2,경기도 성남시 중원구 희망로367번길6-8,경기도 성남시 중원구 상대원동 3156-9,37.4388031,127.157981,2018.8.16
1,경기도 성남시 중원구 희망로375번길9-1,경기도 성남시 중원구 상대원동 3182,37.4391098,127.1577094,2018.8.16
1,경기도 성남시 중원구 희망로367번길10,경기도 성남시 중원구 상대원동 3196,37.4385516,127.1574258,2018.8.16
1,경기도 성남시 중원구 박석로 48,경기도 성남시 중원구 상대원동 1097,37.4370534,127.1660102,2018.8.16
1,경기도 성남시 중원구 희망로359번길34-5,경기도 성남시 중원구 상대원동 3658,37.4381051,127.1543175,2018.8.16
1,경기도 성남시 중원구 희망로353번길28,경기도 성남시 중원구 상대원동 3956,37.4373294,127.1549826,2018.8.16
1,경기도 성남시 중원구 희망로367번길16,경기도 성남시 중원구 상대원동 3241,37.4385523,127.1568721,2018.8.16
1,경기도 성남시 중원구 희망로367번길18,경기도 성남시 중원구 상대원동 3272,37.4385797,127.1565671,2018.8.16
1,경기도 성남시 중원구 희망로353번길28-12,경기도 성남시 중원구 상대원동 3954,37.4376896,127.1551189,2018.8.16
1,경기도 성남시 중원구 상대원동 3937,경기도 성남시 중원구 상대원동 3937,37.437356,127.1553216,2018.8.16
1,경기도 성남시 중원구 박석로79번길2,경기도 성남시 중원구 상대원동 2117,37.4396406,127.1650101,2018.8.16
1,경기도 성남시 중원구 희망로344번길12-2,경기도 성남시 중원구 상대원동 2983-109,37.4361343,127.1593756,2018.8.16
