,year,cctv,light,log_pa,ep,fp,yp,log_nb,label,gid
346,0,1,1,-0.6697927892685128,1.9909706546275394,1.6056140350877193,0.5461538461538461,0.12540532428927811,4,木夭丑友什65ba28aa
347,0,1,1,-0.499665152818599,3.124153498871332,1.3712280701754387,0.36923076923076925,0.0,4,木夭丑友什65ba28ab
348,0,0,0,0.06019519722499889,0.11286681715575621,0.04912280701754386,0.16923076923076924,-0.3774394000310676,1,木夭丑友什65ba28ba
349,0,1,1,-0.30185685141040436,0.12189616252821671,0.10245614035087719,-0.03076923076923077,0.8964890535347774,3,木夭丑友什65ba29aa
350,0,0,0,-0.30185685141040436,1.963882618510158,1.6421052631578947,1.823076923076923,0.42856432181229076,2,木夭丑友什65ba29ab
351,0,0,0,-0.30185685141040436,1.6433408577878104,1.2126315789473685,1.7615384615384615,0.0,2,木夭丑友什65ba29ba
352,0,1,1,-0.3392129571798474,1.3318284424379232,1.928421052631579,2.7384615384615385,0.3169612163061488,2,木夭丑友什65ba29bb
353,0,1,1,-0.08156895413680534,0.5869074492099323,0.5698245614035088,0.15384615384615385,1.2961750109302452,3,木夭丑友什65ba30aa
354,0,1,1,0.01861625188910772,0.27539503386004516,0.33263157894736844,0.09230769230769231,1.0575060589130625,3,木夭丑友什65ba30ab
355,0,0,0,0.01861625188910772,0.6952595936794582,0.4392982456140351,0.4230769230769231,0.6748204929343843,3,木夭丑友什65ba30ba
356,0,1,1,0.01861625188910772,2.455981941309255,2.4435087719298245,1.7923076923076924,-0.03597881296475759,2,木夭丑友什65ba30bb
357,0,1,1,0.22190680109775904,0.5507900677200903,0.29333333333333333,0.13076923076923078,-0.618070233696806,0,木夭丑友什65ba31aa
358,0,1,1,0.5631439399266557,-0.26636568848758463,-0.2063157894736842,-0.2153846153846154,0.33708072469083844,0,木夭丑友什65ba31ba
359,0,1,1,0.5631439399266557,-0.07223476297968397,0.04631578947368421,0.16153846153846155,0.8483435853072626,0,木夭丑友什65ba31bb
360,0,1,1,0.5631439399266557,-0.08126410835214447,0.05333333333333334,0.2692307692307692,0.09644989102510006,0,木夭丑友什65ba32aa
