year,cctv,light,pa,ep,fp,yp,nb,label,gid
0,0,0,0.107315447,-0.343115124,-0.332631579,-0.323076923,-0.292682927,0,木夭丑友什63ba37aa
0,0,0,0.107315447,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什63ba37ab
0,0,0,0.838526912,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什63bb27bb
1,0,0,1.291118147,-0.343115124,-0.341052632,-0.323076923,-0.292682927,0,木夭丑友什63bb29ab
1,0,0,1.804365939,-0.343115124,-0.341052632,-0.323076923,-0.292682927,0,木夭丑友什63bb29ba
0,1,1,1.638393601,-0.036117381,-0.190877193,-0.246153846,-0.130081301,0,木夭丑友什63bb30aa
0,0,0,1.638393601,-0.176072235,-0.258245614,-0.323076923,-0.162601626,0,木夭丑友什63bb30ab
1,0,0,0.399266789,-0.311512415,-0.325614035,-0.323076923,-0.195121951,0,木夭丑友什63bb31ba
1,1,1,-0.325945676,0.523702032,1.052631579,2.876923077,0.195121951,2,木夭丑友什63bb32aa
1,1,1,-0.15064156,-0.343115124,-0.341052632,-0.323076923,1.983739837,0,木夭丑友什63bb32ab
1,0,0,0.485252458,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什63bb33aa
1,1,1,0.485252458,0.23476298,0.06877193,0.238461538,0.455284553,0,木夭丑友什63bb33ab
1,1,1,0.485252458,0.176072235,-0.007017544,0.138461538,0.06504065,0,木夭丑友什63bb33ba
1,1,1,1.478420263,-0.085778781,-0.082807018,0.030769231,0.520325203,0,木夭丑友什63bb33bb
1,0,0,1.239793368,-0.297968397,-0.321403509,-0.323076923,-0.195121951,0,木夭丑友什63bb34ba
0,0,0,-0.073987669,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什63bb36ba
1,0,0,0.550574904,-0.275395034,-0.324210526,-0.323076923,-0.520325203,0,木夭丑友什64aa28bb
1,0,0,1.291118147,-0.343115124,-0.324210526,-0.323076923,0.06504065,0,木夭丑友什64aa29ab
1,0,0,1.804365939,-0.343115124,-0.33122807,-0.323076923,-0.195121951,0,木夭丑友什64aa29ba
0,1,1,1.638393601,-0.239277652,-0.247017544,-0.261538462,-0.130081301,0,木夭丑友什64aa30aa
0,0,0,1.638393601,-0.266365688,-0.293333333,-0.323076923,-0.292682927,0,木夭丑友什64aa30ab
1,0,0,1.139143476,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什64aa31ab
1,0,0,0.932511248,-0.343115124,-0.341052632,-0.323076923,-0.325203252,0,木夭丑友什64aa31ba
1,1,1,0.395934011,-0.121896163,0.522105263,2.384615385,-0.390243902,2,木夭丑友什64aa32aa
1,1,1,0.495250792,0.25282167,0.846315789,2.369230769,0.585365854,2,木夭丑友什64aa32ab
1,0,0,0.857190468,-0.198645598,-0.192280702,-0.069230769,-0.390243902,0,木夭丑友什64aa32bb
1,0,0,0.485252458,0.18510158,0.179649123,0.476923077,-0.390243902,0,木夭丑友什64aa33aa
1,1,1,0.485252458,0.501128668,0.630175439,1.615384615,0.357723577,2,木夭丑友什64aa33ab
1,1,1,3.446758874,-0.094808126,-0.044912281,0.092307692,0.74796748,0,木夭丑友什64aa33ba
1,1,1,3.446758874,-0.261851016,-0.168421053,-0.069230769,1.203252033,0,木夭丑友什64aa33bb
0,0,0,1.478420263,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什64aa34ab
0,0,0,-0.691884686,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什64aa36ab
1,0,0,-0.691884686,-0.036117381,0.211929825,0.553846154,0.780487805,2,木夭丑友什64aa36ba
1,0,0,-0.073321113,0.30248307,0.760701754,2.546153846,0.487804878,2,木夭丑友什64aa36bb
1,1,1,0.17463756,-0.279909707,-0.322807018,-0.323076923,-0.195121951,0,木夭丑友什64aa37ba
0,0,0,1.353774371,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什64aa38bb
1,0,0,0.159973338,-0.221218962,-0.280701754,-0.323076923,-0.260162602,0,木夭丑友什64ab27ab
1,1,1,1.164472588,-0.275395034,-0.287719298,-0.276923077,-0.325203252,0,木夭丑友什64ab27ba
1,0,0,0.163972671,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什64ab28ba
1,1,1,0.503916014,0.532731377,0.035087719,-0.115384615,-0.195121951,0,木夭丑友什64ab28bb
1,0,0,0.503916014,-0.108352144,-0.272280702,-0.323076923,-0.487804878,0,木夭丑友什64ab29aa
0,1,1,0.825862356,0.013544018,-0.150175439,-0.184615385,0.81300813,0,木夭丑友什64ab29ab
1,0,0,0.988501916,-0.121896163,-0.268070175,-0.261538462,-0.292682927,0,木夭丑友什64ab29ba
1,0,0,0.988501916,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什64ab29bb
