,gid,cctv,light,log_pa,ep,fp,yp,nb
364,дь_65ba33ab,0.0,0.0,0.492865298,-0.343115124,-0.113684211,-0.323076923,-2.205124015364859
365,дь_65ba33ba,0.0,0.0,0.297137231,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
366,дь_65ba34aa,-0.5,-0.5,-0.742337425,-0.176072235,-0.081403509,0.284615385,-2.205124015364859
367,дь_65ba34ab,-0.5,-0.5,-0.742337425,-0.311512415,-0.256842105,-0.176923077,-2.205124015364859
368,дь_65ba34bb,-0.5,-0.5,0.043059489,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
369,дь_65ba35aa,-0.5,-0.5,0.452984624,-0.121896163,-0.202105263,-0.184615385,2.859026767580517
370,дь_65ba35ab,0.0,0.0,0.679048256,-0.207674944,-0.223157895,-0.238461538,1.6805105247454442
371,дь_65ba35ba,-0.5,-0.5,0.679048256,-0.311512415,-0.325614035,-0.323076923,-2.205124015364859
372,дь_65ba36ba,0.0,0.0,0.574926549,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
373,дь_65bb26ab,0.0,0.0,-0.031490667,1.137697517,0.93754386,1.346153846,3.0605392086593843
374,дь_65bb26ba,0.0,0.0,-0.975510092,1.589164786,1.727719298,2.523076923,3.595143919688303
375,дь_65bb26bb,-0.5,-0.5,-0.975510092,0.361173815,0.496842105,0.746153846,1.871591121293624
376,дь_65bb27aa,-0.5,-0.5,-0.089924708,0.06772009,-0.070175439,-0.107692308,2.701995457269642
377,дь_65bb27ab,1.0,1.0,0.089840704,2.347629797,1.010526316,0.1,3.232158706401343
378,дь_65bb27ba,0.5,0.5,0.375005901,1.227990971,0.919298246,1.492307692,2.4167334156165534
379,дь_65bb27bb,-0.5,-0.5,0.41078427,1.58013544,1.334736842,1.669230769,3.1777171998095506
380,дь_65bb28aa,-0.5,-0.5,0.41078427,1.413092551,1.358596491,0.592307692,2.930174942615175
381,дь_65bb28ab,0.5,0.5,0.41078427,0.67268623,0.360701754,0.253846154,2.1768845859352064
382,дь_65bb29aa,0.0,0.0,0.168898536,0.230248307,0.397192982,0.715384615,4.559405726882803
383,дь_65bb29ab,0.5,0.5,0.168898536,0.383747178,0.538947368,0.892307692,3.6707511732675617
384,дь_65bb29ba,0.0,0.0,0.168898536,0.893905192,1.298245614,2.084615385,3.706816959223986
385,дь_65bb29bb,0.0,0.0,0.142367241,1.738148984,1.208421053,1.153846154,2.997191932124966
386,дь_65bb30aa,-0.5,-0.5,0.371563556,0.961625282,0.42245614,-0.046153846,4.737914782778951
387,дь_65bb30ab,0.5,0.5,0.463734016,0.383747178,0.407017544,-0.015384615,5.381995417148977
388,дь_65bb30ba,0.5,0.5,0.463734016,0.902934537,1.083508772,1.338461538,4.044695960217754
389,дь_65bb30bb,-0.5,-0.5,0.463734016,1.056433409,1.007719298,0.838461538,3.841024191030605
390,дь_65bb31aa,2.0,2.0,0.604315967,0.230248307,0.280701754,-0.130769231,2.859026767580517
391,дь_65bb31ab,-0.5,-0.5,1.094269539,-0.343115124,-0.328421053,-0.323076923,1.449334001130827
392,дь_65bb31bb,1.0,1.0,0.964699871,-0.225733634,-0.130526316,-0.146153846,-2.205124015364859
393,дь_65bb32aa,4.5,4.5,0.964699871,-0.013544018,0.021052632,0.084615385,-2.205124015364859
394,дь_65bb32ab,-0.5,-0.5,0.67498321,1.959367946,1.695438596,2.838461538,-2.205124015364859
395,дь_65bb32ba,-0.5,-0.5,0.67498321,1.593679458,1.949473684,3.069230769,-2.205124015364859
396,дь_65bb32bb,0.5,0.5,0.67498321,0.568848758,1.160701754,1.6,-2.205124015364859
397,дь_65bb33aa,0.0,0.0,0.372941916,0.79006772,1.250526316,1.9,-2.205124015364859
398,дь_65bb33ab,0.5,0.5,0.297137231,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
399,дь_65bb33ba,0.0,0.0,0.297137231,2.433408578,1.609824561,1.607692308,-2.205124015364859
400,дь_65bb33bb,-0.5,-0.5,0.297137231,0.668171558,0.950175439,1.5,-2.205124015364859
401,дь_65bb34aa,0.5,0.5,-0.742337425,0.139954853,0.739649123,1.892307692,-2.205124015364859
402,дь_65bb34ab,0.0,0.0,-0.742337425,0.108352144,0.482807018,1.192307692,0.09548225679308976
403,дь_65bb34ba,0.0,0.0,-0.742337425,-0.297968397,-0.321403509,-0.323076923,2.0346159972975615
404,дь_65bb35aa,0.0,0.0,0.628608659,-0.288939052,-0.268070175,-0.238461538,0.7524504306244418
405,дь_65bb35ab,-0.5,-0.5,0.628608659,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
406,дь_65bb35ba,-0.5,-0.5,0.628608659,-0.243792325,-0.249824561,-0.107692308,1.449334001130827
407,дь_65bb35bb,-0.5,-0.5,0.679048256,-0.297968397,-0.324210526,-0.323076923,2.0346159972975615
408,дь_66aa26aa,-0.5,-0.5,0.362557607,0.103837472,0.204912281,0.330769231,1.6805105247454442
409,дь_66aa26ab,-0.5,-0.5,-0.031490667,1.237020316,1.44,2.461538462,3.2841721149714416
410,дь_66aa26ba,1.5,1.5,-0.975510092,0.428893905,0.569824561,1.084615385,2.7831922916032688
411,дь_66aa26bb,-0.5,-0.5,0.094400675,0.717832957,1.052631579,1.923076923,2.6146012016941915
412,дь_66aa27aa,-0.5,-0.5,0.094400675,0.153498871,0.007017544,-0.084615385,3.1777171998095506
413,дь_66aa27ab,0.5,0.5,0.094400675,0.853273138,0.74245614,0.338461538,3.555444447354803
414,дь_66aa27ba,-0.5,-0.5,0.375005901,0.898419865,1.437192982,1.630769231,2.7831922916032688
415,дь_66aa27bb,0.0,0.0,0.41078427,0.826185102,1.148070175,1.461538462,2.997191932124966
416,дь_66aa28aa,0.0,0.0,0.41078427,0.681715576,0.42245614,0.484615385,3.3339685236581023
417,дь_66aa28ab,-0.5,-0.5,0.41078427,-0.225733634,-0.244210526,-0.276923077,1.6805105247454442
418,дь_66aa28bb,-0.5,-0.5,0.544647172,0.451467269,-0.154385965,-0.323076923,0.7524504306244418
419,дь_66aa29aa,0.5,0.5,0.168898536,1.227990971,1.306666667,1.9,3.232158706401343
420,дь_66aa29ab,-0.5,-0.5,0.168898536,1.349887133,1.345964912,1.561538462,3.6335518646046254
421,дь_66aa29ba,0.0,0.0,0.168898536,1.611738149,1.849824561,1.5,3.1206045979594323
422,дь_66aa29bb,0.0,0.0,0.142367241,1.756207675,1.055438596,0.423076923,2.930174942615175
423,дь_66aa30aa,2.0,2.0,0.371563556,1.435665914,0.887017544,0.384615385,2.303161982697385
424,дь_66aa30ab,0.0,0.0,0.433728573,0.83972912,1.236491228,2.446153846,2.6146012016941915
425,дь_66aa30ba,0.0,0.0,0.433728573,1.232505643,1.347368421,2.092307692,3.232158706401343
426,дь_66aa30bb,1.0,1.0,0.831168478,1.038374718,0.974035088,1.838461538,2.303161982697385
427,дь_66aa31aa,-0.5,-0.5,0.542324291,0.889390519,1.077894737,1.523076923,2.6146012016941915
428,дь_66aa31ab,-0.5,-0.5,0.542324291,-0.144469526,0.192280702,-0.261538462,2.4167334156165534
429,дь_66aa31ba,0.0,0.0,0.964699871,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
430,дь_66aa32aa,-0.5,-0.5,0.964699871,0.162528217,0.151578947,0.546153846,-2.205124015364859
431,дь_66aa32ab,0.5,0.5,0.67498321,2.460496614,1.678596491,2.6,-2.205124015364859
432,дь_66aa32ba,0.0,0.0,0.67498321,1.051918736,1.198596491,1.769230769,-2.205124015364859
433,дь_66aa32bb,1.0,1.0,0.67498321,-0.221218962,-0.197894737,-0.069230769,-2.205124015364859
434,дь_66aa33aa,2.0,2.0,0.372941916,0.514672686,1.135438596,2.392307692,-2.205124015364859
435,дь_66aa33ab,1.0,1.0,0.98394938,-0.167042889,-0.089824561,0.115384615,-2.205124015364859
436,дь_66aa33ba,0.5,0.5,-0.71539279,1.981941309,1.472280702,1.830769231,-2.205124015364859
437,дь_66aa33bb,0.0,0.0,-0.740238788,0.848758465,1.237894737,2.2,-2.205124015364859
438,дь_66aa34aa,8.0,8.0,-0.742337425,0.058690745,0.543157895,1.530769231,-2.205124015364859
439,дь_66aa34ab,0.5,0.5,-0.742337425,0.221218962,0.804210526,2.176923077,-2.205124015364859
440,дь_66aa35ab,-0.5,-0.5,0.179818427,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
441,дь_66aa35ba,0.0,0.0,0.865418402,-0.25282167,-0.289122807,-0.323076923,1.871591121293624
442,дь_66ab26ab,-0.5,-0.5,-0.031490667,0.478555305,0.8,1.161538462,2.303161982697385
443,дь_66ab26ba,-0.5,-0.5,0.837680331,1.128668172,0.912280702,1.084615385,2.4167334156165534
444,дь_66ab26bb,0.5,0.5,0.094400675,0.726862302,0.554385965,0.976923077,3.427626340404232
445,дь_66ab27ab,-0.5,-0.5,0.083421608,-0.153498871,-0.22877193,-0.230769231,1.6805105247454442
