gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗650303,127.1052695,37.37155927,1174,598,576,175,83,92,203,103,100,3,3,,2003,0,0
ㅼ궗652284,127.1076175,37.35444083,812,424,388,128,64,64,116,56,60,3,3,,1995,0,0
ㅼ궗680343,127.1389785,37.40772212,14,7,7,0,0,0,0,0,0,3,,,2001.33,1,2
ㅼ궗686383,127.1455882,37.44379706,542,257,285,20,8,12,141,78,63,116,,112,1988.46,1,17
ㅼ궗660309,127.1165359,37.37700462,492,263,229,68,38,30,83,48,35,2,2,,1992.5,0,0
ㅼ궗710390,127.1726923,37.45018482,672,343,329,95,44,51,106,54,52,3,3,,2006,0,0
ㅼ궗699348,127.160427,37.41229255,359,196,163,27,14,13,131,70,61,3,3,,2009.67,0,0
ㅼ궗665333,127.1220747,37.39865554,180,93,87,12,0,9,40,18,22,1,1,,1993,0,0
ㅼ궗655298,127.1109397,37.36707116,171,92,79,22,13,9,19,11,8,3,1,,1994,1,0
ㅼ궗690316,127.1503909,37.38341921,0,0,,,,,0,0,,6,,1,2003.17,0,0
ㅼ궗660357,127.1163154,37.42026999,44,22,22,0,0,,6,0,0,6,,3,2008.67,0,2
ㅼ궗652357,127.1072744,37.4202403,6,0,0,,,,0,0,0,4,,2,2006.5,0,0
ㅼ궗679315,127.1379699,37.38248046,0,0,0,,,,0,,0,,,,,0,0
ㅼ궗669373,127.1264148,37.4347243,101,46,55,7,0,0,19,11,8,8,1,7,1993,0,3
ㅼ궗692398,127.1523085,37.45733757,8,0,0,,,,,,,32,1,28,1989.16,0,2
ㅼ궗668287,127.1256702,37.35720348,27,17,10,0,0,0,7,0,0,5,,5,1997.6,1,0
ㅼ궗687381,127.1467271,37.44199773,485,226,259,24,12,12,87,47,40,41,4,19,1993.18,0,6
ㅼ궗647298,127.1019052,37.36704109,0,0,0,,,,0,0,0,3,,,2005.67,0,0
ㅼ궗641293,127.0951534,37.36251127,0,0,0,0,0,,0,0,,1,,1,2003,0,0
ㅼ궗671407,127.128524,37.46537751,38,21,17,0,0,0,12,6,6,3,,2,2004,1,0
ㅼ궗687342,127.1468923,37.40684465,125,63,62,16,8,8,18,8,10,4,2,,1998.75,1,0
ㅼ궗672407,127.1296548,37.46538106,17,11,6,,,,0,0,0,1,,,2005,1,0
ㅼ궗694373,127.1546734,37.43481024,58,18,40,0,0,0,13,7,6,18,1,17,1988.94,1,5
ㅼ궗678377,127.1365705,37.43836145,546,245,301,28,15,13,146,78,68,115,1,112,1990.27,1,15
ㅼ궗697400,127.1579537,37.45915678,915,466,449,43,24,19,210,120,90,57,47,9,1993.16,0,9
ㅼ궗690353,127.1502359,37.41676972,45,24,21,0,0,0,7,0,0,6,,5,2008.83,0,0
