소재지도로명주소,카메라대수,위도,경도,데이터기준일자,소재지지번주소,,,,,,,,구미동,133,구미동,133
"경기도 성남시 분당구 이매로123번길 12, 부근(이매동, 이매포스파크)",5,37.3917449,127.134232,2018.4.1,경기도 성남시 분당구 이매1동 293-4번지 포스파크 부근,,,,,,,,,,,
,2,37.3869211,127.1279294,2018.4.1,경기도 성남시 분당구 이매1동 128-7번지 돌마공원 화장실 주변,,,,,,,,,,,
"경기도 성남시 분당구 양현로 104, 안말초등학교  정문(이매동)",2,37.3928805,127.1255436,2018.4.1,경기도 성남시 분당구 이매1동 118번지 안말초등학교 정문,,,,,,,,,,,
"경기도 성남시 분당구 양현로 146, 이매초등학교  정문(이매동)",2,37.3967556,127.1260563,2018.4.1,경기도 성남시 분당구 이매1동 112번지 이매초등학교 정문,,,,,,,,,,,
,4,37.3977294,127.1257899,2018.4.1,경기도 성남시 분당구 이매1동 114번지 방아다리어린이공원(분당23호),,,,,,,,,,,
"경기도 성남시 분당구 방아로 42, (이매동)",3,37.3985685,127.1335239,2018.4.1,경기도 성남시 분당구 이매1동 81-8번지 (샛별선교원앞 삼거리),,,,,,,,,,,
"경기도 성남시 분당구 이매로 88, 동명유치원  (이매동)",4,37.3933092,127.1300553,2018.4.1,경기도 성남시 분당구 이매1동 262-2번지(동명유치원),,,,,,,,,,,
"경기도 성남시 분당구 양현로 220, (이매동, 이매촌삼성10단지)",5,37.402897,127.1267487,2018.4.1,경기도 성남시 분당구 이매1동 100번지(꾸러기유치원),,,,,,,,,,,
"경기도 성남시 분당구 이매로124번길 15, (이매동)",4,37.3911145,127.1317053,2018.4.1,경기도 성남시 분당구 이매1동 357-18번지,,,,,,,,,,,
"경기도 성남시 분당구 이매로133번길 16, (이매동, 진흥아마란스)",3,37.3766914,127.1246814,2018.4.1,경기도 성남시 분당구 이매1동 308번지 등산로입구,,,,,,,,,,,
"경기도 성남시 분당구 양현로 192, 1010동 지하층  태원보도  앞(이매동, 이매촌삼성10단지)",2,37.402897,127.1267487,2018.4.1,경기도 성남시 분당구 이매1동 127-2번지 태원지하보도(삼성아파트 1010동 앞),,,,,,,,,,,
"경기도 성남시 분당구 방아로46번길 21-10, (이매동)",4,37.396631,127.134711,2018.4.1,경기도 성남시 분당구 이매1동 49-2번지,,,,,,,,,,,
"경기도 성남시 분당구 이매로89번길 16, (이매동)",3,37.394001,127.131711,2018.4.1,경기도 성남시 분당구 이매1동 268-12,,,,,,,,,,,
"경기도 성남시 분당구 방아로 50, (이매동)",3,37.399151,127.134261,2018.4.1,경기도 성남시 분당구 이매1동 27번지,,,,,,,,,,,
,2,37.3931342,127.1222566,2018.4.1,경기도 성남시 분당구 이매2동 148번지 이매길어린이공원(분당24호),,,,,,,,,,,
,3,37.4025069,127.1230174,2018.4.1,경기도 성남시 분당구 이매2동 134번지 아름어린이공원(분당21호) 매송초등학교 주변,,,,,,,,,,,
,1,37.4035458,127.1237397,2018.4.1,경기도 성남시 분당구 이매2동 152-7번지 운중천 둔치주변 이매파출소 앞,,,,,,,,운중동,100,,
,4,37.3950296,127.1221561,2018.4.1,경기도 성남시 분당구 이매2동 146번지 이매고등학교 입구,,,,,,,,,,,
경기도 성남시 분당구 탄천로 97,3,37.4017034,127.1228815,2018.4.1,경기도 성남시 분당구 이매2동 136번지 매송초등학교 주변,,,,,,,,,,,
경기도 성남시 분당구 보행자도로,3,37.4158894,127.1309837,2018.4.1,경기도 성남시 분당구 야탑1동 399-2번지 보행자도로,,,,,,,,,,,
,2,37.4140037,127.1304269,2018.4.1,경기도 성남시 분당구 야탑1동 340번지 야탑어린이공원(분당3호),,,,,,,,,,,
"경기도 성남시 분당구 매화로37번길 13-11, 부근  (야탑동)",3,37.4111509,127.1318057,2018.4.1,경기도 성남시 분당구 야탑1동 388-2번지 부근,,,,,,,,,,,
"경기도 성남시 분당구 야탑로111번길 12-14, 탑어린이공원  (야탑동)",4,37.4118521,127.1322281,2018.4.1,경기도 성남시 분당구 야탑1동 385번지 탑어린이공원,,,,,,,,,,,
