gid,lon,lat,fp,yp,ep,nb,cctv_light,b20,label
木夭丑友什669377,127.1263969,37.43832973,14.93318452,5.385164807,9.848857802,6.403124237,1,1,0
木夭丑友什673350,127.131038,37.41400724,11.18033989,3.872983346,9.38083152,2.236067977,1,1,2
木夭丑友什702389,127.1636517,37.44925807,11.48912529,3.872983346,7.416198487,5.385164807,1,1,2
木夭丑友什678376,127.1365749,37.43746009,15.93737745,3.741657387,11.18033989,10.04987562,1,1,3
木夭丑友什674334,127.1322385,37.39958896,4.898979486,0,3.31662479,2.236067977,1,0,4
木夭丑友什696378,127.1569136,37.43932362,12.08304597,3,9.486832981,9.949874371,1,1,3
木夭丑友什697388,127.158003,37.44834049,10.24695077,4.358898944,6.08276253,4.898979486,1,1,1
木夭丑友什677367,127.1354838,37.42934438,14.89966443,5.477225575,9.539392014,4.582575695,1,1,0
木夭丑友什612327,127.0622271,37.39304085,4.69041576,2.449489743,3.464101615,2.449489743,1,0,4
木夭丑友什698392,127.1591171,37.45194919,13.22875656,4.795831523,7.549834435,4,1,1,2
木夭丑友什704371,127.1659849,37.43304,5.477225575,0,3.31662479,3.605551275,1,1,4
木夭丑友什687385,127.1467102,37.44560316,8.426149773,3.872983346,4.898979486,2.828427125,1,1,1
木夭丑友什677381,127.1354226,37.4419634,6.557438524,0,5.291502622,4,1,1,4
木夭丑友什696388,127.1568724,37.44833721,12.12435565,4.358898944,8.062257748,4.795831523,1,1,2
木夭丑友什701374,127.1625818,37.43573445,15.84297952,7.810249676,9.273618495,5.744562647,1,1,0
木夭丑友什613327,127.0633568,37.39304503,7.416198487,3.31662479,3.605551275,3,1,0,4
木夭丑友什698375,127.1591867,37.43662608,12.52996409,4,9,6.708203932,1,1,2
木夭丑友什682386,127.1410533,37.44648749,18.27566688,8.306623863,10.72380529,3,1,1,5
木夭丑友什656276,127.1121711,37.34724477,14.2126704,7.810249676,7.483314774,2.828427125,0,1,0
木夭丑友什644302,127.098498,37.3706351,6,0,3.741657387,2.236067977,0,0,4
木夭丑友什683387,127.1421796,37.44739227,14.10673598,5.196152423,9.219544457,5.291502622,1,1,0
木夭丑友什689365,127.1490554,37.42758271,14.14213562,5.196152423,11.09053651,6.557438524,1,1,0
木夭丑友什706391,127.168166,37.45107357,15.16575089,5.830951895,9.38083152,6.164414003,1,1,0
木夭丑友什684381,127.1433358,37.44198754,10.14889157,2.449489743,7.211102551,6.164414003,1,1,2
木夭丑友什696383,127.156893,37.44383042,11.3137085,5.567764363,8.185352772,3.872983346,1,1,2
木夭丑友什683384,127.1421924,37.4446882,12.12435565,6.557438524,5.656854249,3,1,1,1
木夭丑友什699398,127.1602233,37.45736059,17.69180601,7.141428429,11.18033989,5.196152423,1,1,5
木夭丑友什701375,127.1625778,37.43663581,14.79864859,6.92820323,8.660254038,6.244997998,1,1,0
木夭丑友什678390,127.1365138,37.45007909,12.64911064,3.605551275,8.774964387,9.055385138,1,1,3
木夭丑友什643320,127.0972819,37.38685579,8.774964387,6.32455532,2.645751311,3.605551275,1,0,1
木夭丑友什693391,127.1534683,37.45103139,6.782329983,4.242640687,3.16227766,2.645751311,1,1,4
木夭丑友什644275,127.0986276,37.34629821,6.164414003,2.449489743,3.872983346,2.449489743,1,0,4
木夭丑友什708398,127.1703995,37.45738941,15.58845727,6.244997998,9.486832981,3.741657387,0,1,0
木夭丑友什683381,127.1422053,37.44198413,16.79285562,5.196152423,12.24744871,10.39230485,1,1,3
木夭丑友什707398,127.1692688,37.45738625,16.15549442,5.916079783,10.63014581,6.244997998,1,1,0
木夭丑友什705388,127.1670474,37.44836631,7.071067812,2.449489743,4.242640687,2.828427125,0,1,4
木夭丑友什618327,127.0690053,37.39306575,5.196152423,3.16227766,3,2.236067977,0,0,4
木夭丑友什696370,127.1569465,37.43211274,8,0,6.164414003,4.898979486,1,1,4
木夭丑友什684386,127.1433144,37.44649433,14.07124728,7.483314774,8.717797887,6.782329983,1,1,0
木夭丑友什704373,127.1659769,37.43484272,12.24744871,5.916079783,6.92820323,5,1,1,2
木夭丑友什676370,127.1343404,37.43204497,17.8325545,5.477225575,12.92284798,5.196152423,1,1,5
木夭丑友什678386,127.1365313,37.44647367,15.03329638,5.744562647,8,5.477225575,1,1,0
木夭丑友什694395,127.1545823,37.45464013,5.656854249,2.645751311,3.16227766,5.196152423,1,1,4
木夭丑友什701401,127.1624725,37.46007114,10.44030651,3.605551275,7.211102551,3.464101615,1,1,1
木夭丑友什670376,127.1275318,37.43743194,11.44552314,3.464101615,7.745966692,5.385164807,1,1,2
木夭丑友什679373,127.1377183,37.43475949,10.95445115,4.472135955,6.403124237,4,1,1,1
木夭丑友什658305,127.1142954,37.37339181,8.660254038,5.196152423,3.872983346,3,1,1,1
木夭丑友什645302,127.0996274,37.37063893,8.717797887,2.828427125,6,3.464101615,1,0,1
木夭丑友什707401,127.1692569,37.46009032,14.17744688,5.567764363,9.949874371,2.236067977,1,1,0
木夭丑友什693377,127.1535265,37.43841237,8.831760866,2.828427125,5.656854249,8.366600265,1,1,2
木夭丑友什695372,127.1558079,37.43391217,12.92284798,6.633249581,6.708203932,3.605551275,1,1,2
木夭丑友什641367,127.0947945,37.42921191,9.797958971,5.291502622,4.69041576,2.645751311,0,0,1
木夭丑友什703399,127.164742,37.45827486,9.327379053,4.358898944,6.32455532,4.358898944,1,1,1
木夭丑友什675389,127.1331265,37.44916726,11.53256259,4.898979486,7.549834435,7.483314774,1,1,2
木夭丑友什693376,127.1535306,37.43751101,11.04536102,3,8.124038405,10.14889157,1,1,2
木夭丑友什697374,127.1580604,37.43572146,8.602325267,2.828427125,5.656854249,5.830951895,1,1,1
木夭丑友什708402,127.1703836,37.46099484,5.656854249,0,3.464101615,2.645751311,1,1,4
木夭丑友什708397,127.1704034,37.45648805,17.32050808,6.08276253,11.18033989,6.403124237,1,1,5
木夭丑友什716374,127.1795373,37.43578163,5.830951895,3,2.645751311,2.828427125,1,0,4
木夭丑友什670381,127.1275095,37.44193873,11.13552873,3.16227766,6.708203932,4,1,1,2
木夭丑友什701371,127.162594,37.43303037,5.656854249,2.828427125,2.645751311,2.645751311,0,1,4
木夭丑友什672387,127.1297437,37.44735397,13.78404875,3.31662479,9.643650761,8.660254038,1,1,3
木夭丑友什700397,127.161358,37.45646248,16.15549442,6.164414003,11.70469991,7.071067812,1,1,5
木夭丑友什681367,127.1400049,37.42935824,17.8325545,6.782329983,10.90871211,2.236067977,1,1,5
木夭丑友什706402,127.1681222,37.46098851,14.52583905,5.099019514,10.90871211,5.830951895,1,1,0
木夭丑友什676301,127.1346425,37.36985089,6.633249581,3.31662479,4.123105626,2.449489743,1,0,4
木夭丑友什684375,127.1433614,37.43657939,13.96424004,4.898979486,9.539392014,5.916079783,1,1,0
木夭丑友什694397,127.154574,37.45644284,22.38302929,8.888194417,15.93737745,7.937253933,1,1,5
木夭丑友什699384,127.1602804,37.44474157,9.219544457,0,7.211102551,4.795831523,1,1,1
木夭丑友什685387,127.1444406,37.44739909,9.899494937,3.464101615,6.92820323,4.358898944,1,1,1
木夭丑友什675376,127.1331837,37.43744962,10.63014581,3.464101615,7.745966692,6.557438524,1,1,2
木夭丑友什693396,127.1534475,37.45553818,18.54723699,8,12.92284798,7,1,1,5
木夭丑友什675382,127.1331573,37.44285776,15.8113883,5.744562647,10.72380529,6.8556546,1,1,0
木夭丑友什698380,127.1591662,37.44113288,7.615773106,2.828427125,5.567764363,3.464101615,1,1,1
木夭丑友什698394,127.159109,37.4537519,5.567764363,0,3.872983346,4.123105626,1,1,4
木夭丑友什669268,127.1268842,37.34008101,6.403124237,0,4.795831523,3.872983346,1,1,4
木夭丑友什680378,127.138827,37.43926974,15.23154621,4.582575695,10.09950494,9.797958971,1,1,3
木夭丑友什679385,127.1376661,37.44557578,16.70329309,5.830951895,11.18033989,6.403124237,1,1,5
木夭丑友什700390,127.1613865,37.45015297,16.30950643,6.08276253,10.90871211,5.744562647,1,1,5
木夭丑友什645275,127.0997566,37.34630204,8.185352772,0,4.69041576,3.741657387,0,0,4
木夭丑友什684374,127.1433657,37.43567803,5.291502622,2.645751311,2.828427125,2,1,1,4
木夭丑友什706378,127.1682177,37.43935589,15.03329638,7.937253933,10.39230485,2.449489743,1,1,0
木夭丑友什688391,127.1478153,37.45101468,5.830951895,0,3.741657387,2.449489743,1,1,4
木夭丑友什683372,127.1422439,37.4338719,16.46207763,6.403124237,11.40175425,6.782329983,1,1,5
木夭丑友什682300,127.141423,37.36897026,6.557438524,0,5.385164807,1.414213562,0,1,4
木夭丑友什701373,127.1625859,37.43483309,16.1245155,5.385164807,10.90871211,6.708203932,1,1,0
木夭丑友什648394,127.1025776,37.45357532,4.69041576,0,3.31662479,2.645751311,1,1,4
木夭丑友什653318,127.1085874,37.38509099,3.605551275,0,0,3,1,0,4
木夭丑友什686384,127.1455839,37.44469842,15.93737745,4.795831523,10.95445115,9.110433579,1,1,3
木夭丑友什679387,127.1376574,37.44737849,13.89244399,5,9.327379053,8.185352772,1,1,3
木夭丑友什685388,127.1444364,37.44830045,18.60107524,8.602325267,11.13552873,6.403124237,1,1,5
木夭丑友什689381,127.148988,37.44200446,8.366600265,0,4,4.795831523,1,1,4
