,gid,pa,ep,fp,yp,nb,year,cctv,light
1873,木夭丑友什69aa36ab,1.643,56.0,90.0,12.0,9.0,0,1,1
1874,木夭丑友什69aa36ba,1.643,704.0,1915.0,403.0,73.0,0,1,1
1875,木夭丑友什69aa36bb,1.104,188.0,453.0,82.0,78.0,0,1,1
1876,木夭丑友什69aa37aa,0.929,222.0,700.0,181.0,21.0,0,1,1
1877,木夭丑友什69aa37ab,2.016,26.0,101.0,29.0,1.0,1,1,1
1878,木夭丑友什69aa37ba,1.383,73.0,341.0,114.0,17.0,1,1,1
1879,木夭丑友什69aa37bb,1.338,0.0,0.0,0.0,8.0,0,1,1
1880,木夭丑友什69aa38aa,1.338,88.0,228.0,39.0,202.0,0,1,1
1881,木夭丑友什69aa38ab,1.338,804.0,1891.0,316.0,37.0,0,0,0
1882,木夭丑友什69aa38ba,0.515,155.0,391.0,74.0,7.0,0,1,1
1884,木夭丑友什69aa39aa,0.854,60.0,88.0,9.0,34.0,0,1,1
1885,木夭丑友什69aa39ab,0.854,29.0,87.0,10.0,390.0,0,1,1
1886,木夭丑友什69aa39ba,0.587,19.0,47.0,0.0,398.0,0,1,1
1887,木夭丑友什69aa39bb,2.285,0.0,0.0,0.0,58.0,0,0,0
1890,木夭丑友什69aa40ba,1.32,0.0,15.0,0.0,5.0,1,0,0
1891,木夭丑友什69aa40bb,0.453,85.0,303.0,98.0,30.0,1,0,0
1892,木夭丑友什69aa41aa,0.453,148.0,535.0,173.0,37.0,1,0,0
1893,木夭丑友什69aa41ab,0.453,172.0,898.0,366.0,12.0,1,0,0
1894,木夭丑友什69aa41ba,0.808,91.0,625.0,259.0,17.0,1,0,0
1905,木夭丑友什69ab31bb,3.546,0.0,0.0,0.0,2.0,0,0,0
1906,木夭丑友什69ab32aa,3.546,14.0,25.0,0.0,12.0,1,0,0
1913,木夭丑友什69ab33bb,3.37,10.0,21.0,0.0,15.0,1,0,0
1914,木夭丑友什69ab34aa,3.37,164.0,415.0,69.0,11.0,0,1,1
1917,木夭丑友什69ab34bb,2.704,10.0,132.0,56.0,8.0,1,0,0
1918,木夭丑友什69ab35aa,0.249,234.0,718.0,220.0,30.0,1,1,1
1919,木夭丑友什69ab35ab,2.338,0.0,38.0,18.0,6.0,1,1,1
1924,木夭丑友什69ab36ba,1.933,182.0,503.0,94.0,6.0,0,0,0
1925,木夭丑友什69ab36bb,2.157,76.0,227.0,42.0,23.0,0,1,1
1926,木夭丑友什69ab37aa,1.787,31.0,111.0,31.0,1.0,1,0,0
1927,木夭丑友什69ab37ab,2.016,67.0,171.0,26.0,87.0,0,1,1
1928,木夭丑友什69ab37ba,1.383,239.0,464.0,56.0,438.0,0,1,1
1929,木夭丑友什69ab37bb,1.332,35.0,61.0,0.0,54.0,0,1,1
1930,木夭丑友什69ab38aa,1.332,443.0,612.0,37.0,301.0,0,1,1
1931,木夭丑友什69ab38ab,1.332,238.0,506.0,72.0,55.0,0,1,1
1932,木夭丑友什69ab38ba,0.92,0.0,0.0,0.0,2.0,0,0,0
1933,木夭丑友什69ab38bb,0.854,78.0,195.0,45.0,25.0,0,0,0
1934,木夭丑友什69ab39aa,0.854,91.0,214.0,46.0,35.0,0,1,1
1935,木夭丑友什69ab39ab,0.854,0.0,8.0,0.0,240.0,0,1,1
1936,木夭丑友什69ab39ba,0.203,630.0,1350.0,238.0,397.0,0,1,1
1937,木夭丑友什69ab39bb,0.88,285.0,691.0,128.0,322.0,0,1,1
1938,木夭丑友什69ab40aa,1.067,0.0,0.0,0.0,1.0,1,0,0
1941,木夭丑友什69ab40bb,0.453,79.0,260.0,90.0,12.0,1,0,0
1942,木夭丑友什69ab41aa,0.453,260.0,715.0,215.0,9.0,1,0,0
1943,木夭丑友什69ab41ab,0.761,229.0,1079.0,414.0,20.0,1,0,0
1944,木夭丑友什69ab41ba,0.915,130.0,720.0,263.0,17.0,1,0,0
1947,木夭丑友什69ba30ab,5.537,0.0,0.0,0.0,2.0,0,0,0
1954,木夭丑友什69ba32aa,3.546,0.0,26.0,12.0,1.0,0,0,0
1961,木夭丑友什69ba33bb,3.37,20.0,71.0,13.0,11.0,0,1,1
1962,木夭丑友什69ba34aa,3.37,0.0,11.0,0.0,11.0,1,1,1
1966,木夭丑友什69ba35aa,0.682,286.0,840.0,178.0,32.0,1,1,1
1967,木夭丑友什69ba35ab,2.338,192.0,669.0,215.0,7.0,1,0,0
1968,木夭丑友什69ba35ba,3.156,0.0,9.0,0.0,6.0,1,0,0
1969,木夭丑友什69ba35bb,3.232,0.0,0.0,0.0,5.0,1,0,0
1973,木夭丑友什69ba36bb,2.157,8.0,11.0,0.0,5.0,0,1,1
1974,木夭丑友什69ba37aa,0.925,428.0,1312.0,238.0,114.0,0,1,1
1975,木夭丑友什69ba37ab,0.925,372.0,691.0,95.0,566.0,0,1,1
1976,木夭丑友什69ba37ba,1.307,288.0,468.0,46.0,449.0,0,1,1
1977,木夭丑友什69ba37bb,1.332,320.0,590.0,54.0,372.0,0,1,1
1978,木夭丑友什69ba38aa,1.332,773.0,1539.0,185.0,343.0,0,1,1
1979,木夭丑友什69ba38ab,1.332,297.0,504.0,85.0,121.0,0,1,1
1980,木夭丑友什69ba38ba,0.92,292.0,614.0,85.0,77.0,0,1,1
1981,木夭丑友什69ba38bb,0.293,525.0,1263.0,224.0,109.0,0,1,1
1982,木夭丑友什69ba39aa,0.293,576.0,1791.0,475.0,37.0,1,0,0
1983,木夭丑友什69ba39ab,0.854,140.0,486.0,125.0,9.0,1,1,1
1984,木夭丑友什69ba39ba,0.756,32.0,82.0,13.0,7.0,0,1,1
1985,木夭丑友什69ba39bb,0.939,228.0,582.0,58.0,84.0,0,1,1
1986,木夭丑友什69ba40aa,0.939,170.0,438.0,53.0,64.0,0,1,1
1987,木夭丑友什69ba40ab,1.499,202.0,369.0,28.0,27.0,0,1,1
1988,木夭丑友什69ba40ba,0.899,0.0,0.0,0.0,1.0,1,0,0
1990,木夭丑友什69ba41aa,1.235,112.0,262.0,68.0,3.0,1,0,0
1991,木夭丑友什69ba41ab,1.235,147.0,428.0,119.0,4.0,1,0,0
2005,木夭丑友什69bb33ba,3.37,7.0,28.0,0.0,3.0,0,0,0
2007,木夭丑友什69bb34aa,3.37,7.0,13.0,0.0,16.0,0,0,0
2010,木夭丑友什69bb34bb,3.095,489.0,1001.0,168.0,24.0,1,1,1
2011,木夭丑友什69bb35aa,1.556,147.0,478.0,126.0,29.0,1,1,1
2014,木夭丑友什69bb35bb,3.232,0.0,0.0,0.0,1.0,1,0,0
2019,木夭丑友什69bb37aa,1.108,41.0,128.0,13.0,41.0,0,1,1
2020,木夭丑友什69bb37ab,1.108,546.0,1191.0,128.0,313.0,0,1,1
2021,木夭丑友什69bb37ba,0.415,429.0,1005.0,114.0,262.0,0,1,1
2022,木夭丑友什69bb37bb,1.332,405.0,840.0,117.0,219.0,0,1,1
2023,木夭丑友什69bb38aa,1.332,433.0,1100.0,178.0,101.0,0,1,1
2024,木夭丑友什69bb38ab,1.332,170.0,346.0,43.0,54.0,0,1,1
2025,木夭丑友什69bb38ba,0.92,839.0,1671.0,180.0,283.0,0,1,1
2026,木夭丑友什69bb38bb,0.293,566.0,1223.0,138.0,272.0,0,1,1
