,gid,pa,ep,fp,yp,nb,year,cctv,light
1023,木夭丑友什65ab33bb,1.346,12.0,179.0,0.0,18.0,1,1,1
1028,木夭丑友什65ab35aa,1.573,0.0,24.0,6.0,9.0,1,0,0
1029,木夭丑友什65ab35ab,1.573,0.0,8.0,0.0,12.0,1,0,0
1030,木夭丑友什65ab35ba,1.573,11.0,15.0,0.0,15.0,1,0,0
1031,木夭丑友什65ab35bb,2.014,28.0,63.0,16.0,16.0,1,1,1
1032,木夭丑友什65ab36aa,1.591,0.0,0.0,0.0,14.0,1,0,0
1033,木夭丑友什65ab36ab,1.591,7.0,6.0,0.0,3.0,1,0,0
1047,木夭丑友什65ab39bb,2.758,0.0,0.0,0.0,1.0,1,1,1
1048,木夭丑友什65ab40aa,2.499,6.0,12.0,0.0,9.0,1,0,0
1052,木夭丑友什65ba26ba,1.387,120.0,461.0,26.0,6.0,0,0,0
1053,木夭丑友什65ba26bb,1.464,91.0,286.0,15.0,5.0,0,1,1
1054,木夭丑友什65ba27aa,1.464,33.0,40.0,0.0,11.0,0,0,0
1055,木夭丑友什65ba27ab,1.094,327.0,767.0,79.0,84.0,0,1,1
1056,木夭丑友什65ba27ba,0.844,303.0,1160.0,256.0,106.0,0,1,1
1057,木夭丑友什65ba27bb,0.844,202.0,617.0,143.0,37.0,0,1,1
1058,木夭丑友什65ba28aa,0.844,517.0,1387.0,113.0,21.0,0,1,1
1059,木夭丑友什65ba28ab,0.987,768.0,1220.0,90.0,17.0,0,1,1
1060,木夭丑友什65ba28ba,1.652,101.0,278.0,64.0,9.0,0,0,0
1062,木夭丑友什65ba29aa,1.184,103.0,316.0,38.0,77.0,0,1,1
1063,木夭丑友什65ba29ab,1.184,511.0,1413.0,279.0,35.0,0,0,0
1064,木夭丑友什65ba29ba,1.184,440.0,1107.0,271.0,17.0,0,0,0
1065,木夭丑友什65ba29bb,1.144,371.0,1617.0,398.0,29.0,0,1,1
1066,木夭丑友什65ba30aa,1.45,206.0,649.0,62.0,151.0,0,1,1
1067,木夭丑友什65ba30ab,1.59,137.0,480.0,54.0,101.0,0,1,1
1068,木夭丑友什65ba30ba,1.59,230.0,556.0,97.0,53.0,0,0,0
1069,木夭丑友什65ba30bb,1.59,620.0,1984.0,275.0,16.0,0,1,1
1070,木夭丑友什65ba31aa,1.917,198.0,452.0,59.0,6.0,0,1,1
1072,木夭丑友什65ba31ba,2.624,17.0,96.0,14.0,30.0,1,1,1
1073,木夭丑友什65ba31bb,2.624,60.0,276.0,63.0,71.0,1,1,1
1074,木夭丑友什65ba32aa,2.624,58.0,281.0,77.0,20.0,1,1,1
1075,木夭丑友什65ba32ab,1.964,163.0,1004.0,329.0,47.0,1,1,1
1076,木夭丑友什65ba32ba,1.964,48.0,234.0,82.0,4.0,1,0,0
1078,木夭丑友什65ba33aa,1.939,0.0,181.0,0.0,12.0,1,1,1
1079,木夭丑友什65ba33ab,1.637,0.0,162.0,0.0,3.0,1,1,1
1080,木夭丑友什65ba33ba,1.346,0.0,0.0,0.0,10.0,1,1,1
1082,木夭丑友什65ba34aa,0.476,37.0,185.0,79.0,4.0,1,0,0
1083,木夭丑友什65ba34ab,0.476,7.0,60.0,19.0,1.0,1,0,0
1085,木夭丑友什65ba34bb,1.044,0.0,0.0,0.0,5.0,1,0,0
1086,木夭丑友什65ba35aa,1.573,49.0,99.0,18.0,49.0,1,0,0
1087,木夭丑友什65ba35ab,1.972,30.0,84.0,11.0,20.0,1,1,1
1088,木夭丑友什65ba35ba,1.972,7.0,11.0,0.0,4.0,1,0,0
1092,木夭丑友什65ba36ba,1.777,0.0,0.0,0.0,2.0,0,1,1
1109,木夭丑友什65bb26ab,0.969,328.0,911.0,217.0,18.0,0,1,1
1110,木夭丑友什65bb26ba,0.377,428.0,1474.0,370.0,30.0,0,1,1
1111,木夭丑友什65bb26bb,0.377,156.0,597.0,139.0,6.0,0,0,0
1112,木夭丑友什65bb27aa,0.914,91.0,193.0,28.0,13.0,0,0,0
1113,木夭丑友什65bb27ab,1.094,596.0,963.0,55.0,22.0,0,1,1
1114,木夭丑友什65bb27ba,1.455,348.0,898.0,236.0,10.0,0,1,1
1115,木夭丑友什65bb27bb,1.508,426.0,1194.0,259.0,20.0,0,0,0
1116,木夭丑友什65bb28aa,1.508,389.0,1211.0,119.0,16.0,0,0,0
1117,木夭丑友什65bb28ab,1.508,225.0,500.0,75.0,9.0,0,1,1
1120,木夭丑友什65bb29aa,1.184,127.0,526.0,135.0,67.0,0,1,1
1121,木夭丑友什65bb29ab,1.184,161.0,627.0,158.0,32.0,0,1,1
1122,木夭丑友什65bb29ba,1.184,274.0,1168.0,313.0,33.0,0,1,1
1123,木夭丑友什65bb29bb,1.153,461.0,1104.0,192.0,25.0,0,1,1
1124,木夭丑友什65bb30aa,1.45,289.0,544.0,36.0,81.0,0,0,0
1125,木夭丑友什65bb30ab,1.59,161.0,533.0,40.0,135.0,0,1,1
1126,木夭丑友什65bb30ba,1.59,276.0,1015.0,216.0,43.0,0,1,1
1127,木夭丑友什65bb30bb,1.59,310.0,961.0,151.0,39.0,0,0,0
1128,木夭丑友什65bb31aa,1.83,127.0,443.0,25.0,20.0,0,1,1
1129,木夭丑友什65bb31ab,2.987,0.0,9.0,0.0,5.0,0,0,0
1131,木夭丑友什65bb31bb,2.624,26.0,150.0,23.0,50.0,1,1,1
1132,木夭丑友什65bb32aa,2.624,73.0,258.0,53.0,72.0,1,1,1
1133,木夭丑友什65bb32ab,1.964,510.0,1451.0,411.0,15.0,1,0,0
1134,木夭丑友什65bb32ba,1.964,429.0,1632.0,441.0,13.0,1,0,0
1135,木夭丑友什65bb32bb,1.964,202.0,1070.0,250.0,13.0,1,1,1
1136,木夭丑友什65bb33aa,1.452,251.0,1134.0,289.0,18.0,1,1,1
1137,木夭丑友什65bb33ab,1.346,0.0,0.0,0.0,3.0,1,1,1
1138,木夭丑友什65bb33ba,1.346,615.0,1390.0,251.0,25.0,1,1,1
1139,木夭丑友什65bb33bb,1.346,224.0,920.0,237.0,23.0,1,0,0
1140,木夭丑友什65bb34aa,0.476,107.0,770.0,288.0,18.0,1,1,1
1141,木夭丑友什65bb34ab,0.476,100.0,587.0,197.0,10.0,1,1,1
1142,木夭丑友什65bb34ba,0.476,10.0,14.0,0.0,30.0,0,1,1
1144,木夭丑友什65bb35aa,1.875,12.0,52.0,11.0,18.0,1,1,1
1145,木夭丑友什65bb35ab,1.875,0.0,0.0,0.0,3.0,0,0,0
1146,木夭丑友什65bb35ba,1.875,22.0,65.0,28.0,21.0,1,0,0
1147,木夭丑友什65bb35bb,1.972,10.0,12.0,0.0,10.0,1,0,0
1166,木夭丑友什66aa26aa,1.437,99.0,389.0,85.0,5.0,0,0,0
1167,木夭丑友什66aa26ab,0.969,350.0,1269.0,362.0,23.0,0,0,0
1168,木夭丑友什66aa26ba,0.377,171.0,649.0,183.0,16.0,0,1,1
1169,木夭丑友什66aa26bb,1.099,235.0,993.0,292.0,12.0,0,0,0
1170,木夭丑友什66aa27aa,1.099,110.0,248.0,31.0,20.0,0,0,0
1171,木夭丑友什66aa27ab,1.099,265.0,772.0,86.0,28.0,0,1,1
1172,木夭丑友什66aa27ba,1.455,275.0,1267.0,254.0,16.0,0,0,0
1173,木夭丑友什66aa27bb,1.508,259.0,1061.0,232.0,17.0,0,1,1
1174,木夭丑友什66aa28aa,1.508,227.0,544.0,105.0,23.0,0,1,1
1175,木夭丑友什66aa28ab,1.508,26.0,69.0,6.0,5.0,0,0,0
1177,木夭丑友什66aa28bb,1.724,176.0,133.0,0.0,4.0,1,0,0
1178,木夭丑友什66aa29aa,1.184,348.0,1174.0,289.0,21.0,0,1,1
1179,木夭丑友什66aa29ab,1.184,375.0,1202.0,245.0,30.0,0,0,0
1180,木夭丑友什66aa29ba,1.184,433.0,1561.0,237.0,19.0,0,1,1
1181,木夭丑友什66aa29bb,1.153,465.0,995.0,97.0,17.0,0,1,1
1182,木夭丑友什66aa30aa,1.45,394.0,875.0,92.0,9.0,0,1,1
1183,木夭丑友什66aa30ab,1.543,262.0,1124.0,360.0,12.0,0,1,1
1184,木夭丑友什66aa30ba,1.543,349.0,1203.0,314.0,21.0,0,1,1
1185,木夭丑友什66aa30bb,2.296,306.0,937.0,281.0,11.0,0,1,1
1186,木夭丑友什66aa31aa,1.72,273.0,1011.0,240.0,16.0,0,0,0
1187,木夭丑友什66aa31ab,1.72,44.0,380.0,8.0,13.0,0,0,0
1188,木夭丑友什66aa31ba,2.624,0.0,0.0,0.0,2.0,1,1,1
1190,木夭丑友什66aa32aa,2.624,112.0,351.0,113.0,26.0,1,0,0
1191,木夭丑友什66aa32ab,1.964,621.0,1439.0,380.0,29.0,1,1,1
1192,木夭丑友什66aa32ba,1.964,309.0,1097.0,272.0,10.0,1,1,1
1193,木夭丑友什66aa32bb,1.964,27.0,102.0,33.0,17.0,1,1,1
1194,木夭丑友什66aa33aa,1.452,190.0,1052.0,353.0,12.0,1,1,1
1195,木夭丑友什66aa33ab,2.675,39.0,179.0,57.0,4.0,1,1,1
1196,木夭丑友什66aa33ba,0.489,515.0,1292.0,280.0,21.0,1,1,1
1197,木夭丑友什66aa33bb,0.477,264.0,1125.0,328.0,25.0,1,1,1
1198,木夭丑友什66aa34aa,0.476,89.0,630.0,241.0,16.0,1,1,1
1199,木夭丑友什66aa34ab,0.476,125.0,816.0,325.0,11.0,1,1,1
1203,木夭丑友什66aa35ab,1.197,0.0,0.0,0.0,14.0,1,0,0
1204,木夭丑友什66aa35ba,2.376,20.0,37.0,0.0,15.0,1,1,1
1225,木夭丑友什66ab26ab,0.969,182.0,813.0,193.0,9.0,0,0,0
1226,木夭丑友什66ab26ba,2.311,326.0,893.0,183.0,10.0,0,0,0
1227,木夭丑友什66ab26bb,1.099,237.0,638.0,169.0,25.0,0,1,1
1229,木夭丑友什66ab27ab,1.087,42.0,80.0,12.0,6.0,0,0,0
1230,木夭丑友什66ab27ba,1.087,11.0,12.0,0.0,2.0,0,0,0
1231,木夭丑友什66ab27bb,1.508,100.0,158.0,22.0,11.0,0,0,0
1232,木夭丑友什66ab28aa,1.508,18.0,38.0,11.0,4.0,0,0,0
1236,木夭丑友什66ab29aa,1.724,314.0,1018.0,260.0,17.0,0,1,1
1237,木夭丑友什66ab29ab,1.724,272.0,1022.0,319.0,32.0,0,1,1
1238,木夭丑友什66ab29ba,1.153,325.0,1071.0,210.0,20.0,0,1,1
1239,木夭丑友什66ab29bb,1.153,171.0,735.0,166.0,23.0,0,0,0
1240,木夭丑友什66ab30aa,1.278,195.0,829.0,240.0,15.0,0,1,1
1241,木夭丑友什66ab30ab,1.232,284.0,1178.0,399.0,21.0,0,1,1
1242,木夭丑友什66ab30ba,2.296,231.0,985.0,368.0,20.0,0,1,1
1243,木夭丑友什66ab30bb,2.296,275.0,848.0,224.0,19.0,0,1,1
1244,木夭丑友什66ab31aa,1.33,123.0,376.0,128.0,15.0,0,0,0
1247,木夭丑友什66ab31bb,3.157,9.0,118.0,6.0,26.0,1,0,0
1248,木夭丑友什66ab32aa,2.501,0.0,0.0,0.0,4.0,1,1,1
1249,木夭丑友什66ab32ab,2.17,27.0,119.0,44.0,1.0,1,0,0
1250,木夭丑友什66ab32ba,1.452,106.0,527.0,166.0,15.0,1,0,0
1251,木夭丑友什66ab32bb,1.452,243.0,938.0,221.0,28.0,1,0,0
1252,木夭丑友什66ab33aa,1.452,276.0,997.0,303.0,20.0,0,0,0
1253,木夭丑友什66ab33ab,2.675,212.0,621.0,146.0,35.0,0,0,0
1254,木夭丑友什66ab33ba,0.698,321.0,1075.0,294.0,18.0,0,0,0
1255,木夭丑友什66ab33bb,0.477,223.0,693.0,149.0,11.0,0,0,0
1256,木夭丑友什66ab34aa,0.477,419.0,1100.0,247.0,37.0,0,0,0
1257,木夭丑友什66ab34ab,0.477,417.0,1042.0,222.0,18.0,0,1,1
1259,木夭丑友什66ab34bb,0.649,0.0,6.0,0.0,7.0,0,0,0
1261,木夭丑友什66ab35ab,1.305,0.0,0.0,0.0,2.0,1,0,0
1271,木夭丑友什66ab37bb,1.379,189.0,397.0,72.0,9.0,1,1,1
1273,木夭丑友什66ab38ab,1.644,0.0,0.0,0.0,5.0,1,0,0
1277,木夭丑友什66ab39ab,2.174,0.0,0.0,0.0,8.0,0,0,0
1284,木夭丑友什66ba26ba,2.234,86.0,138.0,26.0,20.0,0,0,0
1285,木夭丑友什66ba26bb,1.099,171.0,426.0,85.0,16.0,0,1,1
1286,木夭丑友什66ba27aa,1.087,210.0,399.0,51.0,13.0,0,0,0
1288,木夭丑友什66ba27ba,1.087,266.0,185.0,0.0,1.0,1,0,0
1289,木夭丑友什66ba27bb,2.316,0.0,0.0,0.0,1.0,0,0,0
1292,木夭丑友什66ba28ba,1.965,6.0,18.0,0.0,4.0,0,0,0
1293,木夭丑友什66ba28bb,1.253,179.0,656.0,110.0,117.0,0,1,1
1294,木夭丑友什66ba29aa,1.253,134.0,568.0,160.0,18.0,0,0,0
1295,木夭丑友什66ba29ab,1.253,193.0,782.0,193.0,9.0,0,0,0
1296,木夭丑友什66ba29ba,0.901,254.0,946.0,200.0,19.0,0,0,0
1297,木夭丑友什66ba29bb,0.901,199.0,1029.0,328.0,17.0,0,1,1
1298,木夭丑友什66ba30aa,0.861,132.0,753.0,220.0,17.0,0,1,1
1299,木夭丑友什66ba30ab,0.939,240.0,1150.0,443.0,11.0,0,1,1
1300,木夭丑友什66ba30ba,1.952,175.0,656.0,222.0,11.0,0,0,0
1303,木夭丑友什66ba31ab,0.555,165.0,477.0,115.0,5.0,0,0,0
1304,木夭丑友什66ba31ba,0.555,204.0,730.0,46.0,17.0,0,0,0
1305,木夭丑友什66ba31bb,2.457,8.0,43.0,0.0,24.0,0,1,1
1306,木夭丑友什66ba32aa,2.261,31.0,149.0,0.0,23.0,0,1,1
1307,木夭丑友什66ba32ab,2.17,403.0,1700.0,286.0,14.0,0,0,0
1308,木夭丑友什66ba32ba,2.17,34.0,127.0,17.0,6.0,0,1,1
1309,木夭丑友什66ba32bb,2.17,311.0,635.0,92.0,18.0,0,1,1
1310,木夭丑友什66ba33aa,2.442,160.0,597.0,160.0,13.0,0,1,1
1311,木夭丑友什66ba33ab,2.675,190.0,437.0,76.0,13.0,0,0,0
1312,木夭丑友什66ba33ba,0.9,213.0,749.0,199.0,13.0,0,1,1
1313,木夭丑友什66ba33bb,0.923,300.0,901.0,218.0,10.0,0,1,1
1314,木夭丑友什66ba34aa,0.923,239.0,499.0,102.0,22.0,0,1,1
1315,木夭丑友什66ba34ab,0.649,373.0,704.0,128.0,37.0,0,0,0
1317,木夭丑友什66ba34bb,0.649,0.0,0.0,0.0,3.0,1,0,0
1318,木夭丑友什66ba35aa,0.757,344.0,1007.0,317.0,14.0,0,0,0
1319,木夭丑友什66ba35ab,1.407,116.0,389.0,124.0,20.0,0,0,0
1328,木夭丑友什66ba37ba,1.128,65.0,150.0,38.0,2.0,0,0,0
1329,木夭丑友什66ba37bb,1.128,195.0,497.0,70.0,37.0,0,1,1
1330,木夭丑友什66ba38aa,1.128,0.0,0.0,0.0,1.0,1,0,0
1335,木夭丑友什66ba39ab,3.975,19.0,46.0,0.0,11.0,0,0,0
1343,木夭丑友什66bb26ba,2.234,6.0,23.0,0.0,12.0,1,0,0
1344,木夭丑友什66bb26bb,0.733,130.0,315.0,62.0,52.0,0,1,1
1345,木夭丑友什66bb27aa,1.087,132.0,346.0,52.0,32.0,1,1,1
1346,木夭丑友什66bb27ab,1.087,136.0,181.0,21.0,12.0,0,1,1
1351,木夭丑友什66bb28ba,1.804,35.0,98.0,14.0,19.0,0,1,1
1352,木夭丑友什66bb28bb,1.253,139.0,493.0,70.0,91.0,0,1,1
1353,木夭丑友什66bb29aa,1.253,131.0,432.0,70.0,69.0,0,1,1
1354,木夭丑友什66bb29ab,1.253,0.0,11.0,0.0,2.0,0,0,0
1355,木夭丑友什66bb29ba,0.47,195.0,756.0,120.0,116.0,0,1,1
1356,木夭丑友什66bb29bb,0.47,114.0,1007.0,385.0,26.0,0,0,0
1357,木夭丑友什66bb30aa,0.234,275.0,1227.0,366.0,18.0,0,1,1
1358,木夭丑友什66bb30ab,1.083,173.0,743.0,250.0,20.0,0,0,0
1361,木夭丑友什66bb31aa,1.291,149.0,486.0,120.0,19.0,0,0,0
1362,木夭丑友什66bb31ab,1.291,381.0,1120.0,256.0,11.0,0,0,0
1363,木夭丑友什66bb31ba,1.291,285.0,1155.0,300.0,14.0,0,1,1
1364,木夭丑友什66bb31bb,2.786,116.0,592.0,130.0,22.0,0,1,1
1365,木夭丑友什66bb32aa,2.261,268.0,1055.0,234.0,27.0,0,1,1
1366,木夭丑友什66bb32ab,2.279,272.0,931.0,220.0,27.0,0,1,1
1367,木夭丑友什66bb32ba,2.279,248.0,631.0,110.0,15.0,0,1,1
1368,木夭丑友什66bb32bb,2.279,161.0,521.0,89.0,17.0,0,0,0
1369,木夭丑友什66bb33aa,1.797,119.0,459.0,129.0,11.0,0,1,1
1370,木夭丑友什66bb33ab,1.28,103.0,303.0,97.0,26.0,0,1,1
1371,木夭丑友什66bb33ba,1.28,199.0,543.0,122.0,25.0,0,0,0
1372,木夭丑友什66bb33bb,2.199,176.0,607.0,145.0,13.0,0,1,1
1373,木夭丑友什66bb34aa,2.199,171.0,485.0,122.0,19.0,0,0,0
1374,木夭丑友什66bb34ab,2.199,158.0,363.0,109.0,20.0,0,1,1
1375,木夭丑友什66bb34ba,0.649,97.0,179.0,30.0,19.0,0,1,1
1376,木夭丑友什66bb34bb,0.649,72.0,381.0,14.0,11.0,0,1,1
1377,木夭丑友什66bb35aa,1.504,330.0,969.0,252.0,66.0,0,1,1
1378,木夭丑友什66bb35ab,1.504,153.0,632.0,149.0,45.0,1,1,1
1379,木夭丑友什66bb35ba,1.504,28.0,198.0,47.0,33.0,1,1,1
1380,木夭丑友什66bb35bb,7.37,0.0,0.0,0.0,2.0,1,0,0
1383,木夭丑友什66bb36ba,2.09,65.0,306.0,103.0,47.0,1,0,0
1384,木夭丑友什66bb36bb,1.42,318.0,550.0,53.0,48.0,0,1,1
1385,木夭丑友什66bb37aa,0.762,311.0,668.0,75.0,115.0,0,1,1
1386,木夭丑友什66bb37ab,0.762,66.0,184.0,27.0,31.0,0,1,1
1387,木夭丑友什66bb37ba,8.574,205.0,396.0,44.0,39.0,0,1,1
1388,木夭丑友什66bb37bb,8.574,566.0,1286.0,155.0,143.0,0,1,1
1389,木夭丑友什66bb38aa,7.724,606.0,1161.0,95.0,222.0,0,1,1
1390,木夭丑友什66bb38ab,0.69,331.0,595.0,57.0,189.0,0,1,1
1391,木夭丑友什66bb38ba,0.69,151.0,275.0,12.0,71.0,0,1,1
1392,木夭丑友什66bb38bb,3.975,0.0,0.0,0.0,8.0,1,0,0
1394,木夭丑友什66bb39ab,0.207,24.0,52.0,0.0,18.0,0,1,1
1395,木夭丑友什66bb39ba,4.92,0.0,0.0,0.0,1.0,0,0,0
1396,木夭丑友什66bb39bb,0.904,0.0,14.0,0.0,10.0,1,0,0
1397,木夭丑友什66bb40aa,0.904,0.0,8.0,0.0,15.0,1,0,0
1398,木夭丑友什66bb40ab,0.904,0.0,0.0,0.0,12.0,1,0,0
1399,木夭丑友什66bb40ba,0.952,0.0,0.0,0.0,2.0,1,0,0
1400,木夭丑友什66bb40bb,1.988,0.0,0.0,0.0,13.0,1,1,1
1402,木夭丑友什67aa26ba,2.713,0.0,0.0,0.0,1.0,1,0,0
1403,木夭丑友什67aa26bb,2.908,6.0,21.0,0.0,13.0,1,0,0
1404,木夭丑友什67aa27aa,0.733,20.0,49.0,6.0,19.0,1,0,0
1405,木夭丑友什67aa27ab,1.045,0.0,0.0,0.0,2.0,1,0,0
1411,木夭丑友什67aa28bb,1.253,0.0,12.0,0.0,2.0,0,0,0
1412,木夭丑友什67aa29aa,1.253,0.0,16.0,0.0,3.0,0,1,1
1413,木夭丑友什67aa29ab,1.253,91.0,333.0,48.0,52.0,0,1,1
1414,木夭丑友什67aa29ba,0.234,217.0,722.0,88.0,119.0,0,1,1
1415,木夭丑友什67aa29bb,0.234,39.0,182.0,55.0,21.0,0,1,1
1416,木夭丑友什67aa30aa,0.234,132.0,763.0,242.0,19.0,0,1,1
1417,木夭丑友什67aa30ab,1.083,369.0,1367.0,366.0,40.0,0,1,1
1418,木夭丑友什67aa30ba,1.495,105.0,479.0,168.0,3.0,0,0,0
1419,木夭丑友什67aa30bb,0.902,76.0,346.0,109.0,3.0,0,0,0
1420,木夭丑友什67aa31aa,1.291,302.0,1205.0,408.0,18.0,0,1,1
1421,木夭丑友什67aa31ab,1.291,235.0,821.0,206.0,9.0,0,0,0
1422,木夭丑友什67aa31ba,1.291,269.0,901.0,277.0,14.0,0,1,1
1423,木夭丑友什67aa31bb,2.786,160.0,693.0,163.0,64.0,0,1,1
1424,木夭丑友什67aa32aa,2.786,45.0,173.0,54.0,4.0,0,1,1
1425,木夭丑友什67aa32ab,2.279,132.0,442.0,78.0,13.0,0,0,0
1426,木夭丑友什67aa32ba,2.279,116.0,573.0,160.0,10.0,0,0,0
1427,木夭丑友什67aa32bb,2.279,200.0,696.0,217.0,12.0,0,0,0
1428,木夭丑友什67aa33aa,1.797,124.0,631.0,217.0,16.0,0,1,1
1429,木夭丑友什67aa33ab,2.136,95.0,447.0,150.0,28.0,0,0,0
1430,木夭丑友什67aa33ba,1.414,225.0,537.0,122.0,7.0,0,0,0
1431,木夭丑友什67aa33bb,1.414,207.0,615.0,168.0,11.0,0,0,0
1432,木夭丑友什67aa34aa,1.414,279.0,1013.0,285.0,19.0,0,1,1
1433,木夭丑友什67aa34ab,2.199,406.0,1109.0,290.0,16.0,0,1,1
1434,木夭丑友什67aa34ba,0.31,89.0,295.0,44.0,17.0,0,1,1
1435,木夭丑友什67aa34bb,0.31,38.0,190.0,0.0,16.0,0,1,1
1436,木夭丑友什67aa35aa,1.504,362.0,895.0,175.0,11.0,0,0,0
1437,木夭丑友什67aa35ab,1.504,199.0,748.0,186.0,54.0,0,0,0
1438,木夭丑友什67aa35ba,1.504,22.0,274.0,42.0,16.0,1,1,1
1442,木夭丑友什67aa36ba,1.368,9.0,164.0,0.0,3.0,1,1,1
1443,木夭丑友什67aa36bb,1.368,196.0,404.0,23.0,77.0,0,1,1
1444,木夭丑友什67aa37aa,0.762,303.0,524.0,28.0,109.0,0,1,1
1445,木夭丑友什67aa37ab,0.762,237.0,653.0,92.0,116.0,0,1,1
1446,木夭丑友什67aa37ba,0.198,584.0,1329.0,177.0,256.0,0,1,1
1447,木夭丑友什67aa37bb,0.447,388.0,849.0,94.0,127.0,0,1,1
1448,木夭丑友什67aa38aa,0.447,571.0,1323.0,124.0,275.0,0,1,1
1449,木夭丑友什67aa38ab,0.69,641.0,1151.0,83.0,491.0,0,1,1
1450,木夭丑友什67aa38ba,0.69,356.0,694.0,76.0,250.0,0,1,1
1451,木夭丑友什67aa38bb,3.975,230.0,765.0,98.0,81.0,0,1,1
1452,木夭丑友什67aa39aa,1.322,0.0,18.0,0.0,2.0,0,0,0
1453,木夭丑友什67aa39ab,0.207,48.0,242.0,25.0,35.0,1,1,1
1454,木夭丑友什67aa39ba,0.207,196.0,743.0,96.0,105.0,0,1,1
1455,木夭丑友什67aa39bb,3.506,102.0,398.0,54.0,50.0,0,1,1
1456,木夭丑友什67aa40aa,3.506,66.0,212.0,30.0,22.0,0,0,0
1457,木夭丑友什67aa40ab,3.506,182.0,826.0,166.0,112.0,1,1,1
1458,木夭丑友什67aa40ba,1.674,176.0,741.0,165.0,105.0,1,1,1
1459,木夭丑友什67aa40bb,1.674,129.0,392.0,90.0,60.0,1,1,1
1460,木夭丑友什67aa41aa,1.634,25.0,75.0,17.0,12.0,1,1,1
1473,木夭丑友什67ab29ba,0.793,101.0,414.0,57.0,63.0,0,1,1
1475,木夭丑友什67ab30aa,1.0,97.0,254.0,67.0,12.0,0,0,0
1476,木夭丑友什67ab30ab,1.0,229.0,1146.0,369.0,24.0,0,0,0
1477,木夭丑友什67ab30ba,1.0,293.0,1138.0,342.0,21.0,0,1,1
1478,木夭丑友什67ab30bb,0.902,358.0,1130.0,245.0,15.0,0,0,0
1479,木夭丑友什67ab31aa,1.291,269.0,851.0,190.0,12.0,0,1,1
1480,木夭丑友什67ab31ab,1.291,328.0,1455.0,402.0,21.0,0,0,0
1481,木夭丑友什67ab31ba,1.291,124.0,505.0,146.0,19.0,0,1,1
1482,木夭丑友什67ab31bb,2.786,49.0,218.0,40.0,36.0,0,1,1
1484,木夭丑友什67ab32ab,2.279,23.0,72.0,10.0,6.0,1,0,0
1485,木夭丑友什67ab32ba,2.279,16.0,49.0,9.0,18.0,1,1,1
1486,木夭丑友什67ab32bb,2.279,26.0,85.0,15.0,15.0,1,1,1
1487,木夭丑友什67ab33aa,1.797,23.0,87.0,14.0,14.0,1,1,1
1488,木夭丑友什67ab33ab,2.136,101.0,298.0,66.0,57.0,1,1,1
1489,木夭丑友什67ab33ba,1.414,0.0,12.0,0.0,7.0,1,0,0
1491,木夭丑友什67ab34aa,1.414,68.0,285.0,90.0,14.0,0,0,0
1492,木夭丑友什67ab34ab,0.892,535.0,1123.0,195.0,21.0,0,1,1
1493,木夭丑友什67ab34ba,0.892,400.0,876.0,77.0,94.0,0,1,1
1494,木夭丑友什67ab34bb,0.892,133.0,535.0,39.0,103.0,0,1,1
1495,木夭丑友什67ab35aa,1.772,485.0,905.0,151.0,31.0,0,1,1
1496,木夭丑友什67ab35ab,1.772,264.0,909.0,256.0,21.0,0,1,1
1497,木夭丑友什67ab35ba,1.504,156.0,772.0,276.0,61.0,1,1,1
1498,木夭丑友什67ab35bb,2.115,31.0,133.0,26.0,26.0,1,1,1
1501,木夭丑友什67ab36ba,1.485,140.0,362.0,26.0,43.0,0,1,1
1502,木夭丑友什67ab36bb,1.485,646.0,1368.0,135.0,184.0,0,1,1
1503,木夭丑友什67ab37aa,0.762,305.0,546.0,25.0,176.0,0,1,1
1504,木夭丑友什67ab37ab,0.762,140.0,249.0,16.0,107.0,0,1,1
1505,木夭丑友什67ab37ba,0.198,647.0,1066.0,96.0,488.0,0,1,1
1506,木夭丑友什67ab37bb,0.447,587.0,1117.0,118.0,342.0,0,1,1
1507,木夭丑友什67ab38aa,0.447,402.0,736.0,68.0,254.0,0,1,1
1508,木夭丑友什67ab38ab,0.606,452.0,898.0,132.0,224.0,0,1,1
1509,木夭丑友什67ab38ba,0.606,724.0,1456.0,130.0,570.0,0,1,1
1510,木夭丑友什67ab38bb,0.907,389.0,953.0,114.0,309.0,0,1,1
1512,木夭丑友什67ab39ab,0.207,40.0,138.0,14.0,14.0,1,1,1
1513,木夭丑友什67ab39ba,0.207,123.0,406.0,41.0,49.0,1,1,1
1516,木夭丑友什67ab40ab,1.674,26.0,85.0,21.0,18.0,0,1,1
1517,木夭丑友什67ab40ba,1.67,44.0,123.0,16.0,16.0,1,1,1
1518,木夭丑友什67ab40bb,2.316,59.0,206.0,22.0,31.0,1,1,1
1534,木夭丑友什67ba29bb,1.362,10.0,24.0,8.0,5.0,0,1,1
1535,木夭丑友什67ba30aa,1.373,116.0,283.0,58.0,37.0,0,1,1
1536,木夭丑友什67ba30ab,1.373,241.0,759.0,207.0,16.0,0,1,1
1537,木夭丑友什67ba30ba,1.373,235.0,855.0,216.0,21.0,0,1,1
1538,木夭丑友什67ba30bb,1.394,256.0,771.0,128.0,25.0,0,1,1
1539,木夭丑友什67ba31aa,1.394,249.0,1022.0,293.0,20.0,0,1,1
1540,木夭丑友什67ba31ab,1.141,73.0,274.0,75.0,6.0,0,0,0
1541,木夭丑友什67ba31ba,1.604,10.0,18.0,0.0,7.0,0,1,1
