gid,nb
дь_65aa33aa,0
дь_65aa33ab,0
дь_65aa33ba,0
дь_65aa33bb,0
дь_65aa34aa,0
дь_65aa34ab,0
дь_65aa34ba,0
дь_65aa34bb,0
дь_65aa35aa,0
дь_65aa35ab,0
дь_65aa35ba,1
дь_65aa35bb,16
дь_65aa36aa,0
дь_65aa36ab,1
дь_65aa36ba,1
дь_65aa36bb,0
дь_65aa37aa,0
дь_65aa37ab,0
дь_65aa37ba,0
дь_65aa37bb,0
дь_65aa38aa,0
дь_65aa38ab,0
дь_65aa38ba,0
дь_65aa38bb,1
дь_65aa39aa,1
дь_65aa39ab,10
дь_65aa39ba,22
дь_65aa39bb,2
дь_65aa40aa,25
дь_65aa40ab,0
дь_65ab26aa,0
дь_65ab26ab,2
дь_65ab26ba,5
дь_65ab26bb,6
дь_65ab27aa,1
дь_65ab27ab,29
дь_65ab27ba,58
дь_65ab27bb,27
дь_65ab28aa,16
дь_65ab28ab,12
дь_65ab28ba,8
дь_65ab28bb,2
дь_65ab29aa,7
дь_65ab29ab,2
дь_65ab29ba,4
дь_65ab29bb,1
дь_65ab30aa,18
дь_65ab30ab,0
дь_65ab30ba,1
дь_65ab30bb,0
дь_65ab31aa,0
дь_65ab31ab,0
дь_65ab31ba,0
дь_65ab31bb,0
дь_65ab32aa,0
дь_65ab32ab,0
дь_65ab32ba,0
дь_65ab32bb,0
дь_65ab33aa,0
дь_65ab33ab,0
дь_65ab33ba,0
дь_65ab33bb,0
дь_65ab34aa,0
дь_65ab34ab,0
дь_65ab34ba,0
дь_65ab34bb,0
дь_65ab35aa,2
дь_65ab35ab,0
дь_65ab35ba,1
дь_65ab35bb,3
дь_65ab36aa,0
дь_65ab36ab,0
дь_65ab36ba,0
дь_65ab36bb,0
дь_65ab37aa,0
дь_65ab37ab,0
дь_65ab37ba,0
дь_65ab37bb,0
дь_65ab38aa,0
дь_65ab38ab,0
дь_65ab38ba,0
дь_65ab38bb,0
дь_65ab39aa,0
дь_65ab39ab,0
дь_65ab39ba,0
дь_65ab39bb,0
дь_65ab40aa,2
дь_65ab40ab,0
дь_65ba26aa,0
дь_65ba26ab,0
дь_65ba26ba,4
дь_65ba26bb,5
дь_65ba27aa,11
дь_65ba27ab,83
дь_65ba27ba,106
дь_65ba27bb,36
дь_65ba28aa,21
дь_65ba28ab,16
дь_65ba28ba,9
дь_65ba28bb,2
дь_65ba29aa,74
дь_65ba29ab,35
дь_65ba29ba,16
дь_65ba29bb,28
дь_65ba30aa,149
дь_65ba30ab,94
дь_65ba30ba,53
дь_65ba30bb,12
дь_65ba31aa,5
дь_65ba31ab,2
дь_65ba31ba,1
дь_65ba31bb,0
дь_65ba32aa,0
дь_65ba32ab,0
дь_65ba32ba,0
дь_65ba32bb,0
дь_65ba33aa,0
дь_65ba33ab,0
дь_65ba33ba,0
дь_65ba33bb,0
дь_65ba34aa,0
дь_65ba34ab,0
дь_65ba34ba,0
дь_65ba34bb,0
дь_65ba35aa,15
дь_65ba35ab,5
дь_65ba35ba,0
дь_65ba35bb,0
дь_65ba36aa,0
дь_65ba36ab,0
дь_65ba36ba,1
дь_65ba36bb,0
дь_65ba37aa,0
дь_65ba37ab,0
дь_65ba37ba,0
дь_65ba37bb,0
дь_65ba38aa,0
дь_65ba38ab,0
дь_65ba38ba,0
дь_65ba38bb,0
дь_65ba39aa,0
дь_65ba39ab,0
дь_65ba39ba,0
дь_65ba39bb,0
дь_65ba40aa,0
дь_65ba40ab,0
дь_65bb26aa,0
дь_65bb26ab,18
дь_65bb26ba,29
дь_65bb26bb,6
дь_65bb27aa,13
дь_65bb27ab,21
дь_65bb27ba,10
дь_65bb27bb,20
дь_65bb28aa,16
дь_65bb28ab,8
дь_65bb28ba,0
дь_65bb28bb,5
дь_65bb29aa,67
дь_65bb29ab,31
дь_65bb29ba,32
дь_65bb29bb,17
дь_65bb30aa,78
дь_65bb30ab,134
дь_65bb30ba,43
дь_65bb30bb,36
дь_65bb31aa,15
дь_65bb31ab,4
дь_65bb31ba,1
дь_65bb31bb,0
дь_65bb32aa,0
дь_65bb32ab,0
дь_65bb32ba,0
дь_65bb32bb,0
дь_65bb33aa,0
дь_65bb33ab,1
дь_65bb33ba,0
дь_65bb33bb,0
дь_65bb34aa,0
дь_65bb34ab,1
дь_65bb34ba,7
дь_65bb34bb,0
дь_65bb35aa,2
дь_65bb35ab,1
дь_65bb35ba,4
дь_65bb35bb,7
дь_65bb36aa,0
дь_65bb36ab,0
дь_65bb36ba,0
дь_65bb36bb,0
дь_65bb37aa,0
дь_65bb37ab,0
дь_65bb37ba,0
дь_65bb37bb,0
дь_65bb38aa,0
дь_65bb38ab,0
дь_65bb38ba,0
дь_65bb38bb,0
дь_65bb39aa,0
дь_65bb39ab,0
дь_65bb39ba,0
дь_65bb39bb,0
