소재지지번주소,위도,경도,설치개수,구,동,세부주소
경기도 성남시 분당구 야탑동 384번지,37.41127628,127.1332628,1,분당구,야탑동,384번지
경기도 성남시 분당구 야탑동 389번지,37.4108433,127.1332,1,분당구,야탑동,389번지
경기도 성남시 분당구 야탑동 388-5번지,37.41091703,127.1321938,1,분당구,야탑동,388-5번지
경기도 성남시 분당구 동원동 210-2번지,37.35736673,127.0820918,1,분당구,동원동,210-2번지
경기도 성남시 분당구 동원동 215-2번지,37.35738755,127.0812901,1,분당구,동원동,215-2번지
경기도 성남시 분당구 동원동 210-3번지,37.35770701,127.0818168,1,분당구,동원동,210-3번지
경기도 성남시 분당구 동원동 210-3번지 1호,37.35770701,127.0818168,1,분당구,동원동,210-3번지 1호
경기도 성남시 분당구 동원동 222-6번지,37.35871978,127.0799531,1,분당구,동원동,222-6번지
경기도 성남시 분당구 동원동 222번지 1호,37.35907038,127.0798473,1,분당구,동원동,222번지 1호
경기도 성남시 분당구 동원동 232-2번지 1호,37.35968184,127.0808445,1,분당구,동원동,232-2번지 1호
경기도 성남시 분당구 동원동 232-2번지 3호,37.35968184,127.0808445,1,분당구,동원동,232-2번지 3호
경기도 성남시 분당구 대장동 208-2번지,37.36796744,127.0687538,1,분당구,대장동,208-2번지
경기도 성남시 분당구 대장동 208-1번지,37.36821981,127.068762,1,분당구,대장동,208-1번지
경기도 성남시 분당구 대장동 203-1번지,37.36684613,127.0682484,1,분당구,대장동,203-1번지
경기도 성남시 분당구 대장동 203-1번지,37.36684613,127.0682484,1,분당구,대장동,203-1번지
경기도 성남시 분당구 이매동 산55-6번지,37.39093474,127.1290019,1,분당구,이매동,산55-6번지
경기도 성남시 분당구 이매동 산55-6번지 인근,37.39093474,127.1290019,1,분당구,이매동,산55-6번지 인근
경기도 성남시 분당구 이매동 산55-6번지 인근,37.39093474,127.1290019,1,분당구,이매동,산55-6번지 인근
경기도 성남시 분당구 이매동 산55-6번지 인근,37.39093474,127.1290019,1,분당구,이매동,산55-6번지 인근
경기도 성남시 분당구 야탑동 388-5번지,37.41091703,127.1321938,1,분당구,야탑동,388-5번지
경기도 성남시 분당구 야탑동 388-5번지,37.41091703,127.1321938,1,분당구,야탑동,388-5번지
경기도 성남시 분당구 판교동 534-2번지,37.3976281,127.0974927,1,분당구,판교동,534-2번지
경기도 성남시 분당구 판교동 534-5번지,37.3972611,127.0978134,1,분당구,판교동,534-5번지
경기도 성남시 분당구 판교동 534-8번지,37.39693855,127.0980544,1,분당구,판교동,534-8번지
경기도 성남시 분당구 판교동 538-8번지,37.3970054,127.0985505,1,분당구,판교동,538-8번지
경기도 성남시 분당구 판교동 538-4번지,37.39725991,127.0988411,1,분당구,판교동,538-4번지
경기도 성남시 분당구 동원동 232-2번지 4호,37.35968184,127.0808445,1,분당구,동원동,232-2번지 4호
