gid,pa,ep,fp,yp,cctv,light,pop,nb
¤ì‚¬60bb32bb,9.795,12,113,34,0,0,204,0
¤ì‚¬60bb33aa,9.795,,,,0,0,,0
¤ì‚¬60bb33ab,9.795,,,,0,0,,0
¤ì‚¬60bb33ba,9.739,,,,0,0,,0
¤ì‚¬60bb33bb,9.935,,,,0,0,,0
¤ì‚¬60bb34aa,18.394,,,,0,0,,0
¤ì‚¬60bb34ab,6.367,,,,0,0,,0
¤ì‚¬60bb34ba,6.182,,,,0,0,,0
¤ì‚¬60bb34bb,6.182,,,,0,0,,0
¤ì‚¬60bb35aa,6.182,,,,0,0,,0
¤ì‚¬60bb35ab,6.257,,,,0,0,,0
¤ì‚¬60bb35ba,6.901,,,,0,0,,0
¤ì‚¬60bb35bb,5.722,,,,0,0,,0
¤ì‚¬60bb36aa,5.722,,,,0,0,,0
¤ì‚¬60bb36ab,5.722,,,,0,0,,0
¤ì‚¬60bb36ba,5.492,,,,0,0,,0
¤ì‚¬60bb36bb,5.513,,,,0,0,,0
¤ì‚¬61aa29aa,5.275,0,0,0,0,0,9,3
¤ì‚¬61aa29ab,4.753,0,21,10,0,0,36,4
¤ì‚¬61aa29ba,5.753,0,0,,0,0,0,0
¤ì‚¬61aa29bb,5.753,,,,0,0,,0
¤ì‚¬61aa30aa,3.55,,,,0,0,,0
¤ì‚¬61aa30ab,4.32,0,0,0,0,0,0,0
¤ì‚¬61aa30ba,4.32,,,,0,0,,0
¤ì‚¬61aa30bb,4.32,0,0,,0,4,0,3
¤ì‚¬61aa31aa,7.055,,,,0,1,,1
¤ì‚¬61aa31ab,7.345,,,,0,0,,0
¤ì‚¬61aa31ba,7.345,,,,0,0,,0
¤ì‚¬61aa31bb,7.345,,,,0,0,,0
¤ì‚¬61aa32aa,2.6,,,,0,0,,0
¤ì‚¬61aa32ab,1.505,,0,,0,0,6,1
¤ì‚¬61aa32ba,1.505,65,223,40,1,9,444,3
¤ì‚¬61aa32bb,1.505,28,109,23,0,2,214,0
¤ì‚¬61aa33aa,9.795,,,,0,0,,0
¤ì‚¬61aa33ab,9.795,,,,0,0,,0
¤ì‚¬61aa33ba,9.739,,,,0,0,,0
¤ì‚¬61aa33bb,9.935,,,,0,0,,0
¤ì‚¬61aa34aa,18.394,,,,0,0,,0
¤ì‚¬61aa34ab,5.867,,,,0,0,,0
¤ì‚¬61aa34ba,5.867,,,,0,0,,0
¤ì‚¬61aa34bb,5.867,,,,0,0,,0
¤ì‚¬61aa35aa,6.182,,,,0,0,,0
¤ì‚¬61aa35ab,6.123,,,,0,0,,0
¤ì‚¬61aa35ba,5.432,,,,0,0,,0
¤ì‚¬61aa35bb,5.432,,,,0,0,,0
¤ì‚¬61aa36aa,5.432,,,,0,0,,0
¤ì‚¬61aa36ab,5.342,,,,0,0,,0
¤ì‚¬61aa36ba,5.355,,,,0,0,,0
¤ì‚¬61aa36bb,5.355,,,,0,0,,0
¤ì‚¬61ab29aa,4.173,0,0,,0,0,0,0
¤ì‚¬61ab29ab,4.753,,0,,0,0,0,0
¤ì‚¬61ab29ba,5.753,,,,0,0,,0
¤ì‚¬61ab29bb,5.753,,,,0,1,,0
¤ì‚¬61ab30aa,3.313,0,,,0,0,0,0
¤ì‚¬61ab30ab,3.313,,,,0,5,,0
¤ì‚¬61ab30ba,3.313,,,,0,9,,0
¤ì‚¬61ab30bb,6.695,,,,0,0,,0
¤ì‚¬61ab31aa,6.903,,,,0,0,,0
¤ì‚¬61ab31ab,7.345,,,,0,0,,0
¤ì‚¬61ab31ba,7.345,,,,0,2,,0
¤ì‚¬61ab31bb,7.345,,,,0,0,,0
¤ì‚¬61ab32aa,1.546,,,,0,0,,0
¤ì‚¬61ab32ab,1.505,36,291,86,1,0,549,0
¤ì‚¬61ab32ba,1.505,14,67,15,6,0,129,0
¤ì‚¬61ab32bb,1.505,45,168,45,1,0,349,0
