,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
898,ㅼㅤㄱㅝㅀ670375,127.1275363,37.43653058,307.0,155.0,152.0,33.0,18.0,15.0,79.0,43.0,36.0,26.0,9.0,9.0,1995.38,2,8,10,1
907,ㅼㅤㄱㅝㅀ703385,127.1647983,37.44565584,122.0,68.0,54.0,8.0,0.0,0.0,20.0,12.0,8.0,10.0,2.0,3.0,1990.8,1,12,13,1
912,ㅼㅤㄱㅝㅀ699392,127.1602478,37.45195244,180.0,97.0,83.0,10.0,8.0,0.0,39.0,21.0,18.0,29.0,1.0,18.0,1997.63,0,7,7,1
916,ㅼㅤㄱㅝㅀ689383,127.1489796,37.44380718,289.0,134.0,155.0,12.0,0.0,7.0,64.0,31.0,33.0,17.0,1.0,14.0,1991.06,2,7,9,1
920,ㅼㅤㄱㅝㅀ690393,127.1500681,37.45282411,68.0,40.0,28.0,0.0,0.0,0.0,11.0,7.0,0.0,11.0,1.0,2.0,1994.0,5,1,6,1
922,ㅼㅤㄱㅝㅀ705396,127.1670154,37.45557718,452.0,223.0,229.0,25.0,10.0,15.0,93.0,55.0,38.0,28.0,24.0,2.0,1994.71,0,0,0,0
957,ㅼㅤㄱㅝㅀ672377,127.1297881,37.4383404,492.0,243.0,249.0,35.0,20.0,15.0,126.0,76.0,50.0,104.0,1.0,94.0,1988.45,1,19,20,1
959,ㅼㅤㄱㅝㅀ702385,127.1636678,37.44565263,125.0,56.0,69.0,0.0,0.0,0.0,29.0,15.0,14.0,19.0,1.0,4.0,1991.37,0,8,8,1
966,ㅼㅤㄱㅝㅀ696386,127.1568806,37.44653449,180.0,87.0,93.0,7.0,0.0,0.0,41.0,19.0,22.0,27.0,2.0,15.0,1992.11,0,12,12,1
970,ㅼㅤㄱㅝㅀ656351,127.1118228,37.41484708,79.0,33.0,46.0,0.0,0.0,0.0,21.0,11.0,10.0,21.0,2.0,4.0,2008.15,0,3,3,1
977,ㅼㅤㄱㅝㅀ702397,127.1636194,37.45646894,594.0,314.0,280.0,52.0,24.0,28.0,152.0,93.0,59.0,44.0,25.0,10.0,1993.95,1,7,8,1
983,ㅼㅤㄱㅝㅀ676318,127.1345681,37.38517413,74.0,38.0,36.0,10.0,7.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,2003.0,0,2,2,1
989,ㅼㅤㄱㅝㅀ686367,127.1456562,37.42937531,641.0,328.0,313.0,66.0,36.0,30.0,119.0,57.0,62.0,10.0,6.0,2.0,1996.7,0,3,3,1
991,ㅼㅤㄱㅝㅀ655304,127.1109118,37.37247935,141.0,74.0,67.0,11.0,0.0,7.0,37.0,18.0,19.0,5.0,3.0,1.0,1995.0,2,2,4,1
1001,ㅼㅤㄱㅝㅀ704379,127.1659529,37.44025088,484.0,225.0,259.0,41.0,18.0,23.0,118.0,70.0,48.0,55.0,6.0,48.0,1989.96,0,8,8,1
1007,ㅼㅤㄱㅝㅀ708396,127.1704074,37.45558669,368.0,181.0,187.0,19.0,8.0,11.0,73.0,45.0,28.0,22.0,20.0,2.0,1994.41,1,11,12,1
1012,ㅼㅤㄱㅝㅀ686364,127.1456689,37.42667123,267.0,131.0,136.0,24.0,13.0,11.0,36.0,18.0,18.0,19.0,11.0,6.0,1999.42,0,6,6,1
1030,ㅼㅤㄱㅝㅀ676381,127.1342922,37.44195991,325.0,156.0,169.0,15.0,8.0,7.0,103.0,52.0,51.0,20.0,4.0,3.0,1992.15,1,4,5,1
1032,ㅼㅤㄱㅝㅀ652358,127.1072697,37.42114166,138.0,66.0,72.0,9.0,0.0,6.0,31.0,17.0,14.0,15.0,6.0,5.0,2012.79,0,0,0,0
1034,ㅼㅤㄱㅝㅀ707397,127.1692728,37.45648489,586.0,295.0,291.0,46.0,26.0,20.0,142.0,75.0,67.0,49.0,27.0,19.0,1993.12,0,3,3,1
1039,ㅼㅤㄱㅝㅀ704389,127.1659128,37.44926448,508.0,254.0,254.0,36.0,15.0,21.0,102.0,54.0,48.0,39.0,18.0,18.0,1992.21,1,6,7,1
1041,ㅼㅤㄱㅝㅀ678367,127.1366141,37.42934786,250.0,120.0,130.0,19.0,10.0,9.0,27.0,15.0,12.0,15.0,2.0,2.0,1998.8,0,0,0,0
