gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什62bb35ab,-0.2,0,0,1.238208549,-0.306997743,-0.311578947,-0.323076923,-0.206709106
木夭丑友什62bb35ba,-0.666666667,-0.5,-0.5,1.238208549,-0.343115124,-0.332631579,-0.323076923,-0.618070234
木夭丑友什62bb36bb,0.133333333,-0.5,-0.5,0.81722826,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什63aa28aa,0.2,-0.5,-0.5,0.665083674,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什63aa28ab,-0.466666667,-0.5,-0.5,0.633320342,-0.343115124,-0.332631579,-0.323076923,-1.270062195
木夭丑友什63aa28ba,2,-0.5,-0.5,0.738364761,-0.343115124,-0.329824561,-0.323076923,-1.681423322
木夭丑友什63aa28bb,-0.133333333,-0.5,-0.5,0.738364761,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什63aa32aa,-0.866666667,0.5,0.5,-0.304614457,-0.306997743,-0.294736842,-0.323076923,0.066008928
木夭丑友什63aa32ab,-0.8,5,5,-0.304614457,-0.099322799,-0.033684211,0.246153846,0.872904414
木夭丑友什63aa32ba,-0.866666667,3,3,-1.290048842,-0.239277652,-0.199298246,-0.176923077,0.805005456
木夭丑友什63aa32bb,-1,-0.5,-0.5,-1.17552663,-0.284424379,-0.283508772,-0.223076923,0.316961216
木夭丑友什63aa34aa,-0.066666667,0,0,1.042656606,-0.343115124,-0.341052632,-0.323076923,0.411361127
木夭丑友什63aa37ab,-0.333333333,-0.5,-0.5,0.106565267,-0.203160271,-0.254035088,-0.253846154,0.316961216
木夭丑友什63ab28ab,0.8,-0.5,-0.5,0.633320342,-0.343115124,-0.33122807,-0.323076923,-0.618070234
木夭丑友什63ab31ba,-1.533333333,-0.5,-0.5,0.881831496,-0.343115124,-0.328421053,-0.323076923,-0.115225509
木夭丑友什63ab31bb,-0.6,-0.5,-0.5,-0.304614457,-0.18510158,-0.234385965,-0.169230769,-0.159206268
木夭丑友什63ab32aa,-0.6,0,0,-0.304614457,0.347629797,1.009122807,2.153846154,-0.074280403
木夭丑友什63ab32ab,-0.6,0.5,0.5,-0.304614457,0.148984199,0.383157895,0.646153846,0.375382314
木夭丑友什63ab32ba,-0.8,0,0,-1.290048842,0.112866817,0.22877193,0.353846154,0.274552561
木夭丑友什63ab34ab,-0.6,-0.5,-0.5,0.852075772,-0.343115124,-0.341052632,-0.323076923,-0.115225509
木夭丑友什63ab34ba,0.4,-0.5,-0.5,0.852075772,-0.343115124,-0.341052632,-0.323076923,0.477370056
木夭丑友什63ab34bb,0,0,0,1.049562995,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什63ab37ab,-0.133333333,0.5,0.5,0.106565267,-0.293453725,-0.294736842,-0.323076923,-0.115225509
木夭丑友什63ba29ba,-1.133333333,-0.5,-0.5,1.22138401,-0.343115124,-0.341052632,-0.323076923,-0.44733994
木夭丑友什63ba31ba,-0.666666667,-0.5,-0.5,0.352637414,-0.297968397,-0.314385965,-0.276923077,-0.159206268
木夭丑友什63ba31bb,-1,0,0,0.717721236,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什63ba32aa,-0.6,-0.5,-0.5,0.018616252,0.812641084,1.557894737,3.230769231,0.125405324
木夭丑友什63ba32ab,-0.733333333,1,1,-0.169759385,-0.343115124,-0.293333333,-0.323076923,0.507811018
木夭丑友什63ba32ba,-0.666666667,2,2,-0.169759385,-0.194130926,-0.17122807,-0.176923077,0.375382314
木夭丑友什63ba33bb,-0.6,-0.5,-0.5,0.513998055,-0.248306998,-0.259649123,-0.238461538,-1.029431361
木夭丑友什63ba34ab,-0.266666667,-0.5,-0.5,0.852075772,-0.343115124,-0.341052632,-0.323076923,-0.035978813
木夭丑友什63ba34ba,0.066666667,-0.5,-0.5,0.852075772,-0.343115124,-0.341052632,-0.323076923,-0.526586637
木夭丑友什63ba37aa,0,-0.5,-0.5,0.106565267,-0.343115124,-0.332631579,-0.323076923,-0.44733994
